Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2020-09-29,TOR,@,TBR,L 1-3,ALWC G1,CG,4,4,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,.667,1.35,0.073,14.02,0.42%,0.37,5,LF
2,2,2,2020-09-30,TOR,@,TBR,L 2-8,ALWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.28,-0.025,2.70,-0.15%,-0.64,3,LF
3,3,1,2023-10-03,ARI,@,MIL,W 6-3,NLWC G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.20,-0.077,12.43,-0.50%,-0.90,6,LF
4,4,2,2023-10-04,ARI,@,MIL,W 5-2,NLWC G2,CG,4,4,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.500,0.68,0.013,7.51,0.12%,0.19,6,LF
5,5,3,2023-10-07,ARI,@,LAD,W 11-2,NLDS G1,CG,5,5,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,.200,0.13,0.011,2.10,0.11%,0.51,6,LF
6,6,4,2023-10-09,ARI,@,LAD,W 4-2,NLDS G2,CG,4,4,1,2,0,0,1,2,0,0,0,0,5,0,0,0,0,0,.333,0.55,0.144,8.47,1.40%,1.49,6,LF
7,7,5,2023-10-11,ARI,,LAD,W 4-2,NLDS G3,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.42,-0.018,4.33,-0.09%,-1.08,6,LF
8,8,6,2023-10-16,ARI,@,PHI,L 3-5,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,.000,1.45,-0.193,37.71,-2.84%,-1.55,6,LF
9,9,7,2023-10-17,ARI,@,PHI,L 0-10,NLCS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.68,-0.070,17.95,-1.04%,-1.03,6,LF
10,10,8,2023-10-19,ARI,,PHI,W 2-1,NLCS G3,CG,4,3,0,2,1,0,0,1,1,0,1,0,3,0,0,0,0,0,.667,1.98,0.407,41.33,4.87%,1.76,6,LF
11,11,9,2023-10-20,ARI,,PHI,W 6-5,NLCS G4,CG,4,4,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,.333,1.74,-0.006,53.26,-0.02%,-0.32,6,LF
12,12,10,2023-10-21,ARI,,PHI,L 1-6,NLCS G5,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.64,-0.039,26.47,-1.03%,-0.74,6,LF
13,13,11,2023-10-23,ARI,@,PHI,W 5-1,NLCS G6,CG,4,4,1,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,.000,0.52,0.061,20.45,1.52%,0.34,6,LF
14,14,12,2023-10-24,ARI,@,PHI,W 4-2,NLCS G7,CG,4,4,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,.500,0.78,0.022,65.17,1.26%,0.14,6,LF
15,15,13,2023-10-27,ARI,@,TEX,L 5-6 (11),WS G1,CG(11),5,5,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,0.81,-0.089,42.28,-2.75%,-0.62,6,LF
16,16,14,2023-10-28,ARI,@,TEX,W 9-1,WS G2,CG,5,3,1,2,0,0,0,1,0,0,1,0,2,1,0,1,0,1,.667,0.85,0.054,44.67,2.01%,0.67,6,LF
17,17,15,2023-10-30,ARI,,TEX,L 1-3,WS G3,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.27,-0.106,79.36,-4.05%,-0.99,6,LF
18,18,16,2023-10-31,ARI,,TEX,L 7-11,WS G4,CG,4,3,1,2,0,0,1,4,0,0,0,0,5,1,0,0,1,0,.333,0.16,0.001,9.81,0.02%,1.72,6,LF
19,19,17,2023-11-01,ARI,,TEX,L 0-5,WS G5,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,1.89,-0.133,69.40,-2.87%,-0.82,6,LF
,,,,,,,10-9,,,78,74,5,20,4,0,3,11,2,0,2,14,33,3,0,1,1,1,.293,0.92,0.030,29.44,-3.61%,-1.51,,
