Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,2,2017-10-07,LAD,,ARI,W 8-5,NLDS G2,4-5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.83,-0.093,29.32,-0.83%,-0.80,9,PH
2,2,4,2017-10-14,LAD,,CHC,W 5-2,NLCS G1,5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.63,-0.046,42.58,-0.67%,-0.32,9,PH
3,3,5,2017-10-15,LAD,,CHC,W 4-1,NLCS G2,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3.17,-0.090,83.88,-1.33%,-0.36,9,PH
4,4,6,2017-10-17,LAD,@,CHC,W 6-1,NLCS G3,8-8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.000,0.01,0.000,0.21,0.00%,-0.33,9,PH
5,5,8,2017-10-19,LAD,@,CHC,W 11-1,NLCS G5,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.02,0.000,0.36,-0.01%,-0.49,9,PH
6,6,1,2020-09-30,CIN,@,ATL,L 0-1 (13),NLWC G1,CG(13),5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.64,-0.260,16.97,-1.64%,-1.55,8,SS
7,7,1,2023-10-03,MIN,,TOR,W 3-1,ALWC G1,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.33,-0.008,3.42,-0.05%,-0.17,1,PH 3B
8,8,2,2023-10-04,MIN,,TOR,W 2-0,ALWC G2,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,1,PR 3B
9,9,4,2023-10-08,MIN,@,HOU,W 6-2,ALDS G2,GS-7,3,3,1,1,0,0,1,2,0,0,0,1,4,0,0,0,0,0,.000,0.78,0.117,12.40,1.19%,0.67,7,3B
,,,,,,,8-1,,,14,13,1,1,0,0,1,3,0,0,0,6,4,0,0,0,1,0,.000,1.25,-0.380,23.64,-3.34%,-3.34,,
