Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2017-10-05,BOS,@,HOU,L 2-8,ALDS G1,CG,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.000,1.21,-0.048,18.93,-0.41%,-0.82,7,3B
2,2,2,2017-10-06,BOS,@,HOU,L 2-8,ALDS G2,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.12,-0.006,1.92,-0.04%,-0.65,8,PH 3B
3,3,3,2017-10-08,BOS,,HOU,W 10-3,ALDS G3,CG,4,3,2,2,0,0,1,3,0,0,1,0,5,1,0,0,0,0,.500,1.24,0.224,12.88,1.44%,2.62,7,3B
4,4,4,2017-10-09,BOS,,HOU,L 4-5,ALDS G4,CG,4,3,1,2,0,0,1,1,0,0,1,1,5,0,0,0,0,0,1.000,1.40,0.177,27.17,2.06%,1.76,7,3B
5,5,2,2018-10-06,BOS,,NYY,L 2-6,ALDS G2,7-8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.96,-0.027,15.37,-0.28%,-0.37,8,PH
6,6,3,2018-10-08,BOS,@,NYY,W 16-1,ALDS G3,CG,6,6,2,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,.333,0.60,0.062,12.53,0.81%,-0.13,5,3B
7,7,6,2018-10-14,BOS,,HOU,W 7-5,ALCS G2,CG,4,3,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,.667,1.15,0.087,29.53,1.29%,1.45,6,3B
8,8,7,2018-10-16,BOS,@,HOU,W 8-2,ALCS G3,4-GF,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.000,0.81,0.046,25.24,0.93%,0.47,6,PR 3B
9,9,8,2018-10-17,BOS,@,HOU,W 8-6,ALCS G4,GS-9,5,5,0,1,0,0,0,2,0,0,0,3,1,0,0,0,0,0,.500,1.28,0.062,39.03,1.31%,0.48,5,3B
10,10,9,2018-10-18,BOS,@,HOU,W 4-1,ALCS G5,CG,4,4,1,1,0,0,1,3,0,0,0,2,4,0,0,0,0,0,.000,1.01,0.052,18.20,0.65%,0.54,7,3B
11,11,10,2018-10-23,BOS,,LAD,W 8-4,WS G1,GS-7,3,2,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1.000,1.35,0.089,70.51,2.61%,0.87,6,3B
12,12,11,2018-10-24,BOS,,LAD,W 4-2,WS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.63,-0.068,33.06,-2.08%,-0.84,6,3B
13,13,12,2018-10-26,BOS,@,LAD,L 2-3 (18),WS G3,GS-10,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.96,-0.071,40.00,-1.64%,-0.40,6,3B
14,14,13,2018-10-27,BOS,@,LAD,W 9-6,WS G4,9-GF,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.000,3.27,0.285,200.01,11.18%,0.84,8,PH 3B
15,15,14,2018-10-28,BOS,@,LAD,W 5-1,WS G5,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.43,-0.019,15.57,-0.43%,-0.02,7,3B
16,16,1,2021-10-05,BOS,,NYY,W 6-2,ALWC G1,CG,4,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.000,0.55,0.013,11.36,0.14%,-0.01,3,3B
17,17,2,2021-10-07,BOS,@,TBR,L 0-5,ALDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,1.07,-0.064,16.76,-0.56%,-1.22,4,3B
18,18,3,2021-10-08,BOS,@,TBR,W 14-6,ALDS G2,CG,6,4,2,1,0,0,1,2,0,0,2,1,4,0,0,0,0,0,.000,0.74,0.021,11.77,0.24%,1.04,3,3B
19,19,4,2021-10-10,BOS,,TBR,W 6-4 (13),ALDS G3,CG(13),6,6,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.250,1.51,-0.100,31.52,-1.24%,-0.33,3,3B
20,20,5,2021-10-11,BOS,,TBR,W 6-5,ALDS G4,CG,4,4,1,3,0,0,1,3,0,0,0,0,6,0,0,0,0,0,.667,0.77,0.299,16.94,3.71%,3.19,3,3B
21,21,6,2021-10-15,BOS,@,HOU,L 4-5,ALCS G1,CG,5,5,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.400,1.26,-0.041,32.99,-0.56%,0.00,4,3B
22,22,7,2021-10-16,BOS,@,HOU,W 9-5,ALCS G2,CG,5,4,2,1,0,0,1,4,0,0,1,1,4,0,0,0,0,0,.000,0.49,0.100,12.84,1.68%,2.18,3,3B
23,23,8,2021-10-18,BOS,,HOU,W 12-3,ALCS G3,CG,5,4,2,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,.000,0.15,-0.015,4.64,-0.25%,0.71,3,3B
