Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2013-10-01,PIT,,CIN,W 6-2,NLWC G1,CG,5,5,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.400,0.41,0.011,8.59,0.14%,0.01,,,1,LF
2,2,2,2013-10-03,PIT,@,STL,L 1-9,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.30,-0.029,4.63,-0.26%,-0.85,,,1,LF
3,3,3,2013-10-04,PIT,@,STL,W 7-1,NLDS G2,CG,5,3,1,1,0,0,1,1,1,0,1,1,4,0,1,0,0,0,.000,0.55,0.019,8.81,0.23%,1.50,,,1,LF
4,4,4,2013-10-06,PIT,,STL,W 5-3,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.90,-0.093,18.92,-1.07%,-0.86,,,1,LF
5,5,5,2013-10-07,PIT,,STL,L 1-2,NLDS G4,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.36,-0.133,30.61,-1.83%,-0.74,,,1,LF
6,6,6,2013-10-09,PIT,@,STL,L 1-6,NLDS G5,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,1.20,-0.174,49.79,-4.00%,-1.26,,,1,LF
7,7,1,2014-10-01,PIT,,SFG,L 0-8,NLWC G1,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.60,-0.053,12.50,-0.64%,-0.53,,,5,LF
8,8,1,2015-10-07,PIT,,CHC,L 0-4,NLWC G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,1.07,-0.169,22.29,-2.26%,-1.98,,,4,LF
9,9,1,2020-09-30,MIA,@,CHC,W 5-1,NLWC G1,GS-9,5,4,1,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,.500,0.71,0.073,7.39,0.44%,0.88,,,2,CF
10,10,1,2022-10-07,NYM,,SDP,L 1-7,NLWC G1,CG,4,4,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,.500,0.60,0.068,6.23,0.45%,0.97,,,6,RF
11,11,2,2022-10-08,NYM,,SDP,W 7-3,NLWC G2,CG,5,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,1.11,-0.173,12.32,-1.09%,-2.27,,,2,RF
12,12,3,2022-10-09,NYM,,SDP,L 0-6,NLWC G3,CG,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,0.48,0.000,9.95,0.02%,-0.02,,,2,RF
