Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2022-10-07,SDP,@,NYM,W 7-1,NLWC G1,CG,4,4,1,1,0,0,1,2,0,0,0,1,4,0,0,0,0,0,.000,0.33,0.179,3.43,1.16%,1.41,4,DH
2,2,2,2022-10-08,SDP,@,NYM,L 3-7,NLWC G2,CG,5,4,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.333,1.21,-0.076,13.42,-0.45%,-0.83,4,DH
3,3,3,2022-10-09,SDP,@,NYM,W 6-0,NLWC G3,CG,5,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,0.38,0.011,7.84,0.15%,-0.73,4,DH
4,4,4,2022-10-11,SDP,@,LAD,L 3-5,NLDS G1,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,2.24,-0.118,35.02,-1.04%,-0.82,4,PH DH
5,5,6,2022-10-14,SDP,,LAD,W 2-1,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.27,-0.118,26.51,-1.40%,-1.44,4,DH
6,6,8,2022-10-18,SDP,,PHI,L 0-2,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.44,-0.145,37.59,-2.37%,-0.87,4,DH
7,7,9,2022-10-19,SDP,,PHI,W 8-5,NLCS G2,CG,4,4,1,3,0,0,1,2,0,0,0,1,6,0,0,0,0,0,1.000,0.64,0.153,16.42,2.37%,2.28,6,DH
8,8,10,2022-10-21,SDP,@,PHI,L 2-4,NLCS G3,6-GF,2,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,.500,2.27,-0.115,70.97,-2.02%,-0.79,6,PH 1B
9,9,11,2022-10-22,SDP,@,PHI,L 6-10,NLCS G4,CG,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.74,-0.055,23.65,-1.03%,-0.56,4,DH
10,10,12,2022-10-23,SDP,@,PHI,L 3-4,NLCS G5,GS-7,3,3,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,.500,1.36,0.144,32.11,2.10%,0.62,5,DH
11,11,1,2023-10-03,MIA,@,PHI,L 1-4,NLWC G1,CG,4,4,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,.750,0.55,0.089,5.73,0.51%,1.11,3,1B
12,12,2,2023-10-04,MIA,@,PHI,L 1-7,NLWC G2,CG,4,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,0.28,-0.027,2.69,-0.15%,0.32,3,1B
,,,,,,,4-8,,,45,44,5,13,3,0,2,6,0,0,1,13,22,1,0,0,0,0,.379,0.93,-0.078,22.95,-2.17%,-0.31,,
