Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,HBP,SH,BOP,Pos
28,541,74,2023-06-21,TEX,@,CHW,W 6-3,,,,,,,,,,,,,,,,,,P
29,542,75,2023-06-23,TEX,@,NYY,W 4-2 (10),,,,,,,,,,,,,,,,,,P
30,543,83,2023-07-01,TEX,,HOU,W 5-2,,,,,,,,,,,,,,,,,,P
31,544,85,2023-07-03,TEX,,HOU,L 11-12,,,,,,,,,,,,,,,,,,P
32,545,86,2023-07-04,TEX,@,BOS,W 6-2,,,,,,,,,,,,,,,,,,P
33,546,89,2023-07-07,TEX,@,WSN,W 7-2,,,,,,,,,,,,,,,,,,P
34,547,93,2023-07-15,TEX,,CLE,W 2-0,,,,,,,,,,,,,,,,,,P
35,548,94,2023-07-16,TEX,,CLE,W 6-5,,,,,,,,,,,,,,,,,,P
36,549,96,2023-07-18,TEX,,TBR,W 5-3,,,,,,,,,,,,,,,,,,P
37,550,100,2023-07-23,TEX,,LAD,W 8-4,,,,,,,,,,,,,,,,,,P
38,551,106,2023-07-30,TEX,@,SDP,L 3-5,,,,,,,,,,,,,,,,,,P
39,552,107,2023-08-01,TEX,,CHW,W 2-0,,,,,,,,,,,,,,,,,,P
40,553,109,2023-08-03,TEX,,CHW,W 5-3,,,,,,,,,,,,,,,,,,P
41,554,111,2023-08-05,TEX,,MIA,W 9-8,,,,,,,,,,,,,,,,,,P
42,555,113,2023-08-07,TEX,@,OAK,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
43,556,116,2023-08-11,TEX,@,SFG,W 2-1,,,,,,,,,,,,,,,,,,P
44,557,118,2023-08-13,TEX,@,SFG,L 2-3 (10),,,,,,,,,,,,,,,,,,P
45,558,120,2023-08-15,TEX,,LAA,W 7-3,,,,,,,,,,,,,,,,,,P
46,559,124,2023-08-20,TEX,,MIL,L 2-6,,,,,,,,,,,,,,,,,,P
47,560,125,2023-08-21,TEX,@,ARI,L 3-4 (11),,,,,,,,,,,,,,,,,,P
48,561,127,2023-08-24,TEX,@,MIN,L 5-7,,,,,,,,,,,,,,,,,,P
49,562,130,2023-08-27,TEX,@,MIN,L 6-7 (13),,,,,,,,,,,,,,,,,,P
50,563,132,2023-08-29,TEX,@,NYM,W 2-1,,,,,,,,,,,,,,,,,,P
51,564,133,2023-08-30,TEX,@,NYM,L 5-6 (10),,,,,,,,,,,,,,,,,,P
52,565,135,2023-09-02,TEX,,MIN,L 7-9 (10),,,,,,,,,,,,,,,,,,P
53,566,136,2023-09-03,TEX,,MIN,W 6-5,,,,,,,,,,,,,,,,,,P
54,567,141,2023-09-09,TEX,,OAK,W 3-2,,,,,,,,,,,,,,,,,,P
55,568,146,2023-09-14,TEX,@,TOR,W 9-2,,,,,,,,,,,,,,,,,,P
56,569,148,2023-09-16,TEX,@,CLE,L 1-2,,,,,,,,,,,,,,,,,,P
57,570,150,2023-09-18,TEX,,BOS,L 2-4,,,,,,,,,,,,,,,,,,P
58,571,152,2023-09-20,TEX,,BOS,W 15-5,,,,,,,,,,,,,,,,,,P
59,572,157,2023-09-26,TEX,@,LAA,L 3-9,,,,,,,,,,,,,,,,,,P
60,573,160,2023-09-29,TEX,@,SEA,L 0-8,,,,,,,,,,,,,,,,,,P
,,,,,,,43-17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
