Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,752,1,2016-04-04,ATL,,WSN,L 3-4 (10),CG(10),4,3,1,1,0,0,1,1,0,0,0,1,.333,.500,1.333,1.833,4,0,1,0,0,0,1.71,0.080,1.86,0.05%,0.81,3,1B
2,753,2,2016-04-06,ATL,,WSN,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.143,.250,.571,.821,0,0,0,0,0,0,0.98,-0.102,1.03,-0.06%,-0.78,3,1B
3,754,3,2016-04-08,ATL,,STL,L 4-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.100,.250,.400,.650,0,0,0,0,0,1,1.70,-0.111,1.52,-0.06%,-1.14,3,1B
4,755,4,2016-04-09,ATL,,STL,L 2-12,CG,4,3,0,1,0,0,0,1,0,0,1,0,.154,.313,.385,.697,1,0,0,0,0,0,0.76,0.113,0.60,0.05%,0.84,3,1B
5,756,5,2016-04-10,ATL,,STL,L 7-12,CG,5,3,0,0,0,0,0,0,0,0,2,1,.125,.333,.313,.646,0,0,0,0,0,1,2.05,-0.031,1.62,-0.02%,-0.49,3,1B
6,757,6,2016-04-11,ATL,@,WSN,L 4-6,CG,4,2,1,0,0,0,0,0,0,0,2,0,.111,.360,.278,.638,0,0,0,0,0,1,1.14,-0.033,0.91,-0.02%,-0.18,3,1B
7,758,7,2016-04-12,ATL,@,WSN,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.095,.345,.238,.583,0,0,0,0,0,0,1.35,-0.132,1.11,-0.07%,-0.81,3,1B
8,759,8,2016-04-13,ATL,@,WSN,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.080,.303,.200,.503,0,0,0,0,0,0,1.06,-0.115,0.78,-0.05%,-1.18,3,1B
9,760,10,2016-04-15,ATL,@,MIA,W 6-3,CG,4,3,2,1,0,0,0,0,0,0,0,0,.107,.324,.214,.539,1,0,1,0,0,0,1.38,0.074,0.75,0.02%,0.52,3,1B
10,761,11,2016-04-16,ATL,@,MIA,W 6-4,CG,4,4,0,1,1,0,0,1,0,0,0,0,.125,.317,.250,.567,2,0,0,0,0,0,0.95,0.012,0.61,0.01%,0.26,3,1B
11,762,12,2016-04-17,ATL,@,MIA,W 6-5 (10),CG(10),5,4,1,2,0,0,0,1,0,0,1,2,.167,.348,.278,.626,2,0,0,0,0,0,0.58,0.125,0.39,0.05%,1.32,3,1B
12,763,13,2016-04-19,ATL,,LAD,W 8-1,CG,5,4,2,1,0,0,0,0,0,0,1,0,.175,.353,.275,.628,1,0,0,0,0,0,0.40,0.020,0.26,0.01%,-0.23,3,1B
13,764,14,2016-04-20,ATL,,LAD,L 3-5 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,4,.156,.321,.244,.566,0,0,0,0,0,0,1.16,-0.143,0.79,-0.06%,-1.33,3,1B
14,765,15,2016-04-21,ATL,,LAD,L 1-2 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,1,.163,.328,.245,.573,1,0,0,0,0,0,1.90,-0.196,1.20,-0.07%,-0.72,3,1B
15,766,16,2016-04-22,ATL,,NYM,L 3-6,CG,5,5,0,1,0,0,0,0,0,0,0,2,.167,.318,.241,.559,1,0,0,0,0,0,0.81,-0.070,0.55,-0.03%,-0.57,3,1B
16,767,17,2016-04-23,ATL,,NYM,L 2-8,CG,4,4,0,2,1,0,0,1,0,0,0,2,.190,.329,.276,.604,3,0,0,0,0,0,1.11,0.162,0.66,0.06%,1.37,3,1B
17,768,18,2016-04-24,ATL,,NYM,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.177,.311,.258,.569,0,0,0,0,0,0,1.54,-0.156,0.78,-0.05%,-1.17,3,1B
18,769,19,2016-04-25,ATL,,BOS,L 0-1,CG,4,3,0,2,0,0,0,0,0,0,1,1,.200,.333,.277,.610,2,0,0,0,0,0,1.58,0.065,0.60,0.02%,0.76,6,1B
19,770,20,2016-04-26,ATL,,BOS,L 4-11,CG,4,4,0,1,0,0,0,0,0,0,0,2,.203,.329,.275,.605,1,0,0,0,0,0,0.48,-0.018,0.15,0.00%,-0.23,4,1B
20,771,21,2016-04-27,ATL,@,BOS,L 4-9,CG,4,4,2,2,1,0,1,1,0,0,0,0,.219,.337,.342,.680,6,0,0,0,0,0,0.61,0.106,0.17,0.02%,2.12,4,1B
21,772,22,2016-04-28,ATL,@,BOS,W 5-3,CG,5,4,0,3,0,0,0,0,0,0,1,1,.247,.363,.364,.726,3,0,0,0,0,0,0.63,0.032,0.17,0.01%,0.83,4,1B
22,773,23,2016-04-29,ATL,@,CHC,L 1-6,CG,4,4,1,2,0,0,1,1,0,0,0,2,.259,.368,.407,.776,5,0,0,0,0,0,1.16,0.132,0.33,0.02%,1.12,3,1B
23,774,24,2016-05-01,ATL,@,CHC,W 4-3 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,0,.250,.364,.393,.757,0,0,0,0,0,1,1.04,-0.055,0.24,-0.01%,-0.47,3,1B
24,775,25,2016-05-02,ATL,@,NYM,L 1-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.359,.398,.757,2,0,0,0,0,0,0.50,-0.017,0.14,0.00%,-0.39,3,1B
