Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,133,2010-09-01,ATL,,NYM,W 4-1,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,0.36,-0.036,0.42,-0.03%,-0.95,6,1B
2,2,135,2010-09-03,ATL,@,FLA,L 1-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0.16,-0.004,0.22,0.00%,-0.24,9,PH
3,3,136,2010-09-04,ATL,@,FLA,W 2-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0.94,-0.024,1.42,-0.02%,-0.44,8,PH 1B
4,4,137,2010-09-05,ATL,@,FLA,L 6-7 (10),6-9,2,2,0,1,0,0,0,0,0,0,0,0,.143,.143,.143,.286,1,0,0,0,0,0,1.29,-0.005,1.71,0.00%,-0.11,9,PH 1B
5,5,138,2010-09-06,ATL,@,PIT,L 1-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,0,0,0,0,0,0,1.78,-0.042,2.83,-0.04%,-0.28,9,PH
6,6,140,2010-09-08,ATL,@,PIT,W 9-3,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,.222,0,0,0,0,0,0,0.00,0.000,0.00,0.00%,-0.10,4,1B
7,7,141,2010-09-09,ATL,,STL,L 4-11,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.100,.100,.100,.200,0,0,0,0,0,0,0.01,0.000,0.02,0.00%,-0.10,2,PH 1B
8,8,142,2010-09-10,ATL,,STL,W 8-6,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.100,.100,.100,.200,0,,0,0,,,,,,,,9,1B
9,9,143,2010-09-11,ATL,,STL,W 6-3 (12),8-GF(12),2,2,0,0,0,0,0,0,0,0,0,1,.083,.083,.083,.167,0,0,0,0,0,0,1.81,-0.010,4.98,-0.02%,0.03,9,1B
10,10,144,2010-09-12,ATL,,STL,L 3-7,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.077,.077,.077,.154,0,0,0,0,0,0,0.16,-0.004,0.38,-0.01%,-0.15,5,1B
11,11,147,2010-09-15,ATL,,WSN,L 2-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.077,.077,.077,.154,0,,0,0,,,,,,,,4,PR 1B
12,12,152,2010-09-21,ATL,@,PHI,L 3-5,7-7,1,1,1,1,0,0,1,1,0,0,0,0,.143,.143,.357,.500,4,0,0,0,0,0,0.32,0.059,0.77,0.09%,1.00,9,PH
13,13,153,2010-09-22,ATL,@,PHI,L 0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.133,.133,.333,.467,0,0,0,0,0,0,2.87,-0.073,9.26,-0.14%,-0.24,9,PH
14,14,154,2010-09-24,ATL,@,WSN,L 3-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.125,.125,.313,.438,0,0,0,0,0,0,0.02,0.000,0.07,0.00%,-0.10,9,PH
15,15,155,2010-09-25,ATL,@,WSN,W 5-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.118,.118,.294,.412,0,0,0,0,0,0,0.05,-0.001,0.22,0.00%,-0.43,5,PR 1B
16,16,156,2010-09-26,ATL,@,WSN,L 2-4,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.100,.100,.250,.350,0,0,0,0,0,0,1.83,-0.010,8.10,-0.03%,0.07,5,1B
17,17,157,2010-09-27,ATL,,FLA,W 2-1 (11),11-GF(11),1,1,0,0,0,0,0,0,0,0,0,1,.095,.095,.238,.333,0,0,0,0,0,0,4.17,-0.209,21.11,-0.63%,-0.79,9,PH
18,18,159,2010-09-29,ATL,,FLA,W 5-1,8-GF,1,1,1,1,1,0,0,0,0,0,0,0,.136,.136,.318,.455,2,0,0,0,0,0,0.08,0.005,0.22,0.01%,0.41,9,1B
19,19,160,2010-10-01,ATL,,PHI,L 5-11,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,.174,.174,.348,.522,1,0,0,0,0,0,0.02,0.001,0.03,0.00%,0.97,9,PH
20,20,161,2010-10-02,ATL,,PHI,L 0-7,8-9,1,1,0,0,0,0,0,0,0,0,0,0,.167,.167,.333,.500,0,0,0,0,0,0,0.16,-0.004,0.70,-0.01%,-0.15,9,PH
,,,,,,,8-12,,24,24,3,4,1,0,1,1,0,0,0,8,.167,.167,.333,.500,8,1,0,0,0,0,0.98,-0.357,2.91,-0.84%,-1.60,,
