Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,21,1,2011-03-31,ATL,@,WSN,W 2-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0.66,-0.049,0.73,-0.03%,-0.71,8,1B
2,22,2,2011-04-02,ATL,@,WSN,L 3-6,CG,4,4,0,2,1,0,0,0,0,0,0,1,.286,.286,.429,.714,3,0,0,0,0,0,1.44,0.108,1.64,0.07%,0.81,8,1B
3,23,3,2011-04-03,ATL,@,WSN,W 11-2,CG,5,3,1,0,0,0,0,1,0,0,2,1,.200,.333,.300,.633,0,0,0,0,0,0,0.53,0.001,0.60,0.00%,0.40,8,1B
4,24,4,2011-04-04,ATL,@,MIL,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.143,.250,.214,.464,0,0,0,0,0,0,1.00,-0.101,1.05,-0.06%,-0.82,7,1B
5,25,5,2011-04-05,ATL,@,MIL,L 0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.133,.235,.200,.435,0,0,0,0,0,0,2.05,-0.050,2.24,-0.03%,-0.15,9,PH
6,26,6,2011-04-06,ATL,@,MIL,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.105,.190,.158,.348,0,0,0,0,0,0,0.89,-0.099,0.92,-0.06%,-0.85,2,1B
7,27,7,2011-04-07,ATL,@,MIL,L 2-4,CG,4,4,1,1,0,0,0,0,0,0,0,1,.130,.200,.174,.374,1,0,0,0,0,0,1.15,-0.073,1.14,-0.04%,-0.35,7,1B
8,28,8,2011-04-08,ATL,,PHI,W 6-3,CG,4,3,2,1,0,0,0,0,0,0,0,1,.154,.241,.192,.434,1,0,1,0,0,0,0.75,0.111,0.80,0.07%,0.73,8,1B
9,29,9,2011-04-09,ATL,,PHI,L 2-10,CG,3,3,1,1,0,0,0,1,0,0,0,0,.172,.250,.207,.457,1,0,0,0,0,0,1.21,0.036,1.44,0.03%,0.27,8,1B
10,30,10,2011-04-10,ATL,,PHI,L 0-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.188,.257,.219,.476,1,0,0,0,0,0,1.68,-0.038,1.76,-0.02%,-0.25,8,1B
11,31,11,2011-04-12,ATL,,FLA,W 5-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.194,.256,.222,.479,1,0,0,0,0,0,0.31,-0.022,0.29,-0.01%,-0.53,8,1B
12,32,12,2011-04-13,ATL,,FLA,L 1-5,CG,3,3,0,1,1,0,0,0,0,0,0,1,.205,.262,.256,.518,2,0,0,0,0,0,0.28,-0.007,0.28,0.00%,0.09,8,1B
13,33,13,2011-04-14,ATL,,FLA,L 5-6,CG,4,3,0,1,1,0,0,0,0,0,1,0,.214,.283,.286,.568,2,0,0,0,0,0,2.60,-0.054,2.60,-0.03%,0.29,8,1B
14,34,14,2011-04-16 (1),ATL,,NYM,W 4-2,CG,4,2,1,1,0,0,1,1,0,0,2,0,.227,.320,.364,.684,4,0,0,0,0,0,0.31,0.114,0.27,0.06%,1.02,8,1B
15,35,15,2011-04-16 (2),ATL,,NYM,W 4-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.227,.320,.364,.684,0,,0,0,,,,,,,,9,1B
16,36,16,2011-04-17,ATL,,NYM,L 2-3,GS-6,2,2,0,1,0,0,0,1,0,0,0,0,.239,.327,.370,.696,1,0,0,0,0,0,1.47,0.048,1.42,0.03%,0.49,6,1B
