Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
19-Jul,LAD,vs BOS,4,1,1,2,1,0,0,0,0,0,3,0,0,0.316,0.399,0.634,0,0,0
20-Jul,LAD,vs BOS,4,1,1,2,1,0,0,0,2,2,0,0,0,0.315,0.4,0.632,0,0,0
21-Jul,LAD,vs BOS,3,1,1,4,0,0,1,1,1,0,1,0,0,0.315,0.401,0.638,0,0,0
22-Jul,LAD,vs SF,3,0,0,0,0,0,0,0,1,0,2,0,1,0.313,0.4,0.633,0,0,0
23-Jul,LAD,vs SF,5,0,2,3,1,0,0,3,0,0,3,1,0,0.314,0.4,0.632,0,0,0
24-Jul,LAD,vs SF,4,0,0,0,0,0,0,0,0,0,3,0,0,0.31,0.396,0.626,0,0,0
25-Jul,LAD,vs SF,4,1,2,6,1,0,1,1,1,0,0,0,0,0.312,0.399,0.635,0,0,0
26-Jul,LAD,@ HOU,3,0,2,3,1,0,0,0,1,0,0,1,0,0.315,0.402,0.638,0,0,0
27-Jul,LAD,@ HOU,3,2,2,5,0,0,1,2,2,0,0,1,0,0.318,0.406,0.645,0,0,0
28-Jul,LAD,@ HOU,4,1,0,0,0,0,0,0,1,0,2,1,0,0.314,0.404,0.639,0,0,0
30-Jul,LAD,@ SD,4,1,0,0,0,0,0,0,1,0,2,1,0,0.311,0.402,0.633,0,0,0
31-Jul,LAD,@ SD,3,0,0,0,0,0,0,0,1,0,0,0,0,0.309,0.4,0.628,0,0,0
2-Aug,LAD,@ OAK,5,1,1,4,0,0,1,3,0,0,0,0,0,0.308,0.398,0.63,0,0,0
3-Aug,LAD,@ OAK,5,1,2,2,0,0,0,0,1,0,3,3,0,0.309,0.4,0.627,0,0,0
4-Aug,LAD,@ OAK,4,0,0,0,0,0,0,0,0,0,2,0,0,0.306,0.396,0.621,0,0,0
5-Aug,LAD,vs PHI,3,1,2,6,1,0,1,2,0,0,0,1,0,0.309,0.397,0.631,0,0,1
6-Aug,LAD,vs PHI,4,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.394,0.625,0,0,0
7-Aug,LAD,vs PHI,5,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.39,0.618,0,0,0
9-Aug,LAD,vs PIT,4,1,1,4,0,0,1,2,0,0,1,0,0,0.302,0.389,0.622,0,0,0
10-Aug,LAD,vs PIT,3,0,0,0,0,0,0,0,1,1,2,0,0,0.3,0.388,0.617,0,0,0
11-Aug,LAD,vs PIT,6,0,1,3,0,1,0,0,0,0,0,0,0,0.298,0.385,0.616,0,0,0
12-Aug,LAD,@ MIL,3,2,1,4,0,0,1,2,1,0,0,1,0,0.298,0.386,0.621,0,0,0
13-Aug,LAD,@ MIL,5,1,1,4,0,0,1,1,0,0,2,0,0,0.297,0.385,0.623,0,0,0
14-Aug,LAD,@ MIL,4,1,0,0,0,0,0,0,1,0,1,2,0,0.295,0.383,0.617,0,0,0
15-Aug,LAD,@ MIL,5,0,1,1,0,0,0,0,0,0,1,0,0,0.294,0.381,0.613,0,0,0
16-Aug,LAD,@ STL,5,0,0,0,0,0,0,0,0,0,2,0,0,0.291,0.378,0.606,0,0,0
17-Aug,LAD,@ STL,3,2,1,4,0,0,1,1,1,0,1,2,0,0.291,0.379,0.611,0,0,0
18-Aug,LAD,@ STL,5,1,1,4,0,0,1,1,0,0,2,0,0,0.29,0.377,0.613,0,0,0
19-Aug,LAD,vs SEA,3,0,1,1,0,0,0,0,1,0,0,0,0,0.29,0.378,0.611,0,0,0
20-Aug,LAD,vs SEA,5,0,2,4,0,1,0,0,0,0,1,1,0,0.291,0.378,0.613,0,0,0
21-Aug,LAD,vs SEA,4,2,1,1,0,0,0,0,1,0,1,1,0,0.291,0.378,0.61,0,0,0
23-Aug,LAD,vs TB,5,1,2,5,0,0,1,4,0,0,0,1,0,0.292,0.378,0.614,0,0,0
24-Aug,LAD,vs TB,4,2,2,5,0,0,1,2,0,0,0,0,0,0.294,0.379,0.619,0,0,0
25-Aug,LAD,vs TB,3,1,0,0,0,0,0,0,0,0,1,0,0,0.292,0.378,0.615,1,0,0
27-Aug,LAD,vs BAL,4,1,2,2,0,0,0,0,0,0,1,0,0,0.294,0.379,0.614,0,0,0
28-Aug,LAD,vs BAL,4,3,2,5,0,0,1,1,0,0,1,2,0,0.295,0.38,0.619,0,0,0
29-Aug,LAD,vs BAL,5,0,0,0,0,0,0,0,0,0,1,0,0,0.292,0.377,0.613,0,0,0
30-Aug,LAD,@ AZ,4,2,2,6,1,0,1,1,0,0,2,1,0,0.294,0.379,0.62,1,0,0
31-Aug,LAD,@ AZ,5,1,1,4,0,0,1,2,0,0,1,0,0,0.293,0.377,0.622,0,0,1
1-Sep,LAD,@ AZ,4,0,0,0,0,0,0,0,0,0,3,0,0,0.291,0.374,0.617,0,0,0
2-Sep,LAD,@ AZ,4,2,2,2,0,0,0,0,2,0,1,3,0,0.292,0.377,0.616,0,0,0
3-Sep,LAD,@ LAA,4,2,1,3,0,1,0,1,1,1,2,0,0,0.292,0.377,0.617,0,0,0
4-Sep,LAD,@ LAA,4,0,0,0,0,0,0,0,0,0,1,0,0,0.29,0.375,0.613,0,0,0
6-Sep,LAD,vs CLE,4,1,2,5,0,0,1,1,0,0,1,0,0,0.291,0.376,0.617,0,0,0
7-Sep,LAD,vs CLE,4,0,0,0,0,0,0,0,0,0,1,0,0,0.289,0.373,0.613,0,0,0
8-Sep,LAD,vs CLE,4,1,2,5,0,0,1,1,0,0,1,0,0,0.291,0.374,0.618,0,0,0
9-Sep,LAD,vs CHC,4,2,2,2,0,0,0,0,1,0,1,1,0,0.292,0.376,0.617,0,0,0
10-Sep,LAD,vs CHC,4,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.373,0.612,0,0,0
11-Sep,LAD,vs CHC,4,1,2,5,0,0,1,3,1,0,0,1,0,0.292,0.375,0.617,0,0,0
13-Sep,LAD,@ ATL,4,0,0,0,0,0,0,0,0,0,2,0,0,0.29,0.373,0.613,0,0,0
14-Sep,LAD,@ ATL,2,0,0,0,0,0,0,0,1,0,1,0,0,0.289,0.373,0.61,0,0,0
15-Sep,LAD,@ ATL,4,1,2,4,2,0,0,2,1,1,2,0,0,0.29,0.374,0.613,0,0,0
16-Sep,LAD,@ ATL,4,1,0,0,0,0,0,2,1,0,2,0,0,0.288,0.373,0.609,0,0,0
17-Sep,LAD,@ MIA,5,1,1,4,0,0,1,2,0,0,3,0,0,0.287,0.372,0.611,0,0,0
18-Sep,LAD,@ MIA,5,0,1,1,0,0,0,0,0,0,2,1,0,0.287,0.371,0.607,0,0,0
19-Sep,LAD,@ MIA,6,4,6,17,2,0,3,10,0,0,0,2,0,0.294,0.376,0.629,0,0,0
20-Sep,LAD,vs COL,4,2,3,6,0,0,1,2,0,0,1,1,0,0.297,0.378,0.635,0,0,0
21-Sep,LAD,vs COL,3,1,1,1,0,0,0,0,1,0,1,1,0,0.297,0.38,0.634,1,0,0
22-Sep,LAD,vs COL,5,2,4,7,0,0,1,1,0,0,0,2,0,0.301,0.383,0.64,0,0,0
24-Sep,LAD,vs SD,3,1,1,2,1,0,0,0,1,0,1,0,0,0.301,0.384,0.64,0,0,0
25-Sep,LAD,vs SD,3,1,2,3,1,0,0,2,1,0,1,1,0,0.303,0.386,0.642,0,0,0
26-Sep,LAD,vs SD,5,1,3,4,1,0,0,1,0,0,0,0,0,0.305,0.387,0.643,0,0,0
27-Sep,LAD,@ COL,5,2,4,8,1,0,1,4,0,0,0,1,0,0.309,0.39,0.651,0,0,0
28-Sep,LAD,@ COL,5,1,2,2,0,0,0,0,1,0,0,1,0,0.31,0.391,0.649,0,0,0
29-Sep,LAD,@ COL,4,0,1,1,0,0,0,0,0,0,0,1,0,0.31,0.39,0.646,0,0,0
18-Mar,LAD,@ CHC,5,2,2,3,1,0,0,0,0,0,1,0,0,0.4,0.4,0.6,0,0,0
19-Mar,LAD,@ CHC,3,1,1,4,0,0,1,1,2,1,0,0,0,0.375,0.5,0.875,0,0,0
27-Mar,LAD,vs DET,4,2,2,5,0,0,1,1,0,0,0,0,0,0.417,0.5,1,0,0,0
28-Mar,LAD,vs DET,4,1,1,1,0,0,0,0,1,0,1,0,0,0.375,0.474,0.813,0,0,0
29-Mar,LAD,vs DET,2,2,0,0,0,0,0,0,2,1,1,1,0,0.333,0.478,0.722,0,0,0
31-Mar,LAD,vs ATL,3,1,0,0,0,0,0,0,2,0,3,1,0,0.286,0.464,0.619,0,0,0
1-Apr,LAD,vs ATL,4,1,1,1,0,0,0,0,0,0,0,0,0,0.28,0.438,0.56,0,0,0
2-Apr,LAD,vs ATL,5,1,3,6,0,0,1,1,0,0,0,0,0,0.333,0.459,0.667,0,0,0
4-Apr,LAD,@ PHI,4,0,1,1,0,0,0,0,0,0,1,0,1,0.324,0.439,0.618,0,0,0
5-Apr,LAD,@ PHI,3,0,0,0,0,0,0,0,1,0,1,0,0,0.297,0.422,0.568,0,0,0
