Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2018-03-29,LAA,@,OAK,L 5-6 (11),CG(11),5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,1.10,-0.102,1.19,-0.07%,-0.44,8,DH
2,2,4,2018-04-01,LAA,@,OAK,W 7-4,,,,,,,,,,,,,,.200,.200,.200,.400,,,,,,,,,,,,,P
3,3,6,2018-04-03,LAA,,CLE,W 13-2,CG,4,4,2,3,0,0,1,3,0,0,0,1,.444,.444,.778,1.222,6,0,0,0,0,0,0.45,0.195,0.46,0.12%,2.54,8,DH
4,4,7,2018-04-04,LAA,,CLE,W 3-2 (13),CG(13),5,5,1,2,0,0,1,2,0,0,0,1,.429,.429,.857,1.286,5,0,0,0,0,0,1.61,0.220,1.66,0.14%,1.59,8,DH
5,5,8,2018-04-06,LAA,,OAK,W 13-9,CG,5,4,1,1,0,0,1,2,0,0,1,1,.389,.421,.889,1.310,4,0,0,0,0,0,1.78,0.005,2.02,0.00%,0.87,8,DH
6,6,10,2018-04-08,LAA,,OAK,W 6-1,,,,,,,,,,,,,,.389,.421,.889,1.310,,,,,,,,,,,,,P
7,7,12,2018-04-10,LAA,@,TEX,W 11-1,9-9,1,1,0,0,0,0,0,0,0,0,0,0,.368,.400,.842,1.242,0,0,0,0,0,0,0.00,0.000,0.00,0.00%,-0.12,1,PH
8,8,13,2018-04-11,LAA,@,TEX,W 7-2,CG,4,3,0,1,0,0,0,1,0,0,1,1,.364,.417,.773,1.189,1,0,0,0,0,0,0.71,0.041,0.87,0.03%,0.18,8,DH
9,9,14,2018-04-12,LAA,@,KCR,W 7-1,CG,5,4,0,1,0,1,0,3,0,0,1,1,.346,.414,.769,1.183,3,0,0,0,0,1,0.75,0.056,0.87,0.04%,2.06,8,DH
10,10,15,2018-04-13,LAA,@,KCR,W 5-4,CG,4,4,1,2,1,0,0,0,0,0,0,1,.367,.424,.767,1.191,3,0,0,0,0,0,1.81,0.106,2.20,0.08%,0.46,7,DH
11,11,17,2018-04-17,LAA,,BOS,L 1-10,,,,,,,,,,,,,,.367,.424,.767,1.191,,,,,,,,,,,,,P
