Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
26,Gleyber Torres,27,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.33,0.378,0.709,101,0.318,103,222,6,3,2,8,0,0,0,0,,4.0
27,Brandon Nimmo,31,2.2,151,663,571,88,128,25,3,23,90,15,0,77,158,0.224,0.327,0.399,0.727,106,0.331,111,228,7,12,0,3,1,0,0,0,,7.0
28,Taylor Ward,30,2.3,156,663,585,73,144,26,2,25,75,6,4,63,163,0.246,0.323,0.426,0.748,109,0.329,111,249,11,7,0,8,0,0,0,0,,7.0
29,Nick Castellanos,32,0.8,162,659,606,80,154,30,4,23,86,6,2,41,139,0.254,0.311,0.431,0.742,105,0.327,108,261,14,10,0,2,2,0,0,0,,9.0
30,Ian Happ,29,3.9,153,657,569,89,138,34,2,25,86,13,2,80,168,0.243,0.341,0.441,0.782,119,0.345,121,251,7,6,0,2,1,1,0,0,,7.0
31,Jake Cronenworth,30,1.9,155,656,577,72,139,29,3,17,83,5,2,61,118,0.241,0.324,0.39,0.714,100,0.319,101,225,19,11,1,3,0,0,0,0,,3.0
32,Spencer Steer,26,1.5,158,656,574,74,129,34,4,20,92,25,3,72,137,0.225,0.319,0.402,0.721,97,0.331,99,231,5,8,0,2,1,0,0,0,,7.0
33,Paul Goldschmidt,36,1.3,154,654,599,70,147,33,1,22,65,11,0,47,173,0.245,0.302,0.414,0.716,99,0.326,104,248,20,2,0,2,2,0,0,0,,3.0
34,Brendan Donovan,27,2.6,153,652,587,65,163,34,3,14,73,5,5,47,81,0.278,0.342,0.417,0.759,113,0.332,112,245,4,13,0,5,0,0,0,0,,7.0
35,Teoscar Hernandez,31,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,0.272,0.339,0.501,0.84,137,0.368,141,295,7,8,0,1,3,0,1,1,19.0,7.0
