Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,2,2014-10-04,LAD,,STL,W 3-2,NLDS G2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.45,0.018,6.87,0.14%,0.36,,,5,SS
2,2,1,2020-09-30,MIA,@,CHC,W 5-1,NLWC G1,CG,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,1.13,0.058,11.72,0.37%,-0.05,,,8,SS
3,3,2,2020-10-02,MIA,@,CHC,W 2-0,NLWC G2,CG,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,.333,0.84,-0.043,9.26,-0.27%,-0.42,,,7,SS
4,4,3,2020-10-06,MIA,@,ATL,L 5-9,NLDS G1,CG,4,3,1,1,0,0,1,1,0,0,0,0,4,0,1,0,0,0,.000,0.74,0.070,11.52,0.56%,0.83,,,5,SS
5,5,4,2020-10-07,MIA,@,ATL,L 0-2,NLDS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.91,-0.095,14.59,-0.86%,-0.80,,,7,SS
6,6,5,2020-10-08,MIA,,ATL,L 0-7,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.57,-0.040,5.86,-0.25%,-1.10,,,7,SS
7,7,1,2023-10-07,LAD,,ARI,L 2-11,NLDS G1,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.500,0.11,0.005,1.65,0.04%,0.22,,,9,SS
8,8,2,2023-10-09,LAD,,ARI,L 2-4,NLDS G2,GS-6,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.500,1.30,0.028,19.85,0.28%,0.15,,,9,SS
9,9,3,2023-10-11,LAD,@,ARI,L 2-4,NLDS G3,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.45,-0.023,4.67,-0.14%,-0.28,,,9,SS
10,10,1,2024-10-05,LAD,,SDP,W 7-5,NLDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,1.05,-0.012,16.37,-0.09%,-0.53,3.00,3.00,9,SS
11,11,2,2024-10-06,LAD,,SDP,L 2-10,NLDS G2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.96,-0.075,15.28,-0.76%,-0.89,0.00,0.00,9,SS
12,12,3,2024-10-08,LAD,@,SDP,L 5-6,NLDS G3,GS-3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,0.51,0.023,10.67,0.27%,0.39,3.00,3.00,9,SS
13,13,13,2024-10-26,LAD,,NYY,W 4-2,WS G2,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.59,-0.043,30.98,-1.30%,-0.77,0.00,0.00,9,SS
,,,,,,,5-8,,,38,36,2,7,0,0,1,1,0,0,1,4,10,0,1,0,0,1,.194,0.80,-0.129,12.25,-2.01%,-2.90,6.00,6.00,,
