Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2022-10-07,PHI,@,STL,W 6-3,NLWC G1,CG,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.00,-0.125,10.37,-0.73%,-1.18,,,2,1B
2,2,2,2022-10-08,PHI,@,STL,W 2-0,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.87,-0.093,9.64,-0.64%,-1.19,,,2,1B
3,3,3,2022-10-11,PHI,@,ATL,W 7-6,NLDS G1,CG,5,5,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.333,0.54,-0.006,8.46,-0.03%,0.00,,,2,1B
4,4,4,2022-10-12,PHI,@,ATL,L 0-3,NLDS G2,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.86,-0.088,13.21,-0.77%,-0.81,,,2,1B
5,5,5,2022-10-14,PHI,,ATL,W 9-1,NLDS G3,CG,4,3,1,1,0,0,1,3,0,0,1,2,4,0,0,0,0,0,,0.65,0.170,13.65,2.00%,2.34,,,2,1B
6,6,6,2022-10-15,PHI,,ATL,W 8-3,NLDS G4,CG,5,5,1,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,.500,0.85,0.104,18.87,1.30%,0.90,,,2,1B
7,7,7,2022-10-18,PHI,@,SDP,W 2-0,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.77,-0.089,19.97,-1.43%,-1.08,,,2,1B
8,8,8,2022-10-19,PHI,@,SDP,L 5-8,NLCS G2,CG,4,4,1,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,.000,0.63,-0.023,16.23,-0.41%,0.20,,,2,1B
9,9,9,2022-10-21,PHI,,SDP,W 4-2,NLCS G3,CG,4,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,0.53,-0.006,16.61,-0.10%,-0.10,,,2,1B
10,10,10,2022-10-22,PHI,,SDP,W 10-6,NLCS G4,CG,4,4,2,2,0,0,2,4,0,0,0,0,8,0,0,0,0,0,.000,1.03,0.348,33.00,7.01%,3.03,,,2,1B
11,11,11,2022-10-23,PHI,,SDP,W 4-3,NLCS G5,CG,4,3,1,1,0,0,1,2,0,0,1,0,4,1,0,0,0,0,.000,1.71,0.052,40.27,0.54%,0.71,,,2,1B
12,12,12,2022-10-28,PHI,@,HOU,W 6-5 (10),WS G1,CG(10),5,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,1.40,-0.155,72.99,-4.54%,-0.85,,,2,1B
13,13,13,2022-10-29,PHI,@,HOU,L 2-5,WS G2,CG,4,3,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.77,0.017,39.40,0.50%,0.29,,,2,1B
14,14,14,2022-11-01,PHI,,HOU,W 7-0,WS G3,CG,4,4,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,0.45,-0.030,28.20,-1.08%,0.26,,,2,1B
15,15,15,2022-11-02,PHI,,HOU,L 0-5,WS G4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.58,-0.062,36.91,-2.26%,-0.86,,,2,1B
16,16,16,2022-11-03,PHI,,HOU,L 2-3,WS G5,CG,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000,2.12,-0.267,175.63,-13.51%,-1.69,,,2,1B
17,17,17,2022-11-05,PHI,@,HOU,L 1-4,WS G6,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.96,-0.131,74.95,-6.14%,-1.35,,,2,1B
18,18,1,2024-10-01,MIL,,NYM,L 4-8,NLWC G1,CG,4,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,.000,1.27,-0.068,13.13,-0.50%,-0.42,4.00,6.50,7,1B
19,19,2,2024-10-02,MIL,,NYM,W 5-3,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.67,-0.068,7.38,-0.48%,-0.62,0.00,0.00,6,1B
20,20,3,2024-10-03,MIL,,NYM,L 2-4,NLWC G3,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.37,-0.080,28.54,-0.94%,-0.77,0.00,0.00,6,1B
,,,,,,,12-8,,,83,78,9,11,1,0,6,13,0,0,4,27,30,3,1,0,0,0,.111,0.95,-0.600,33.87,-22.21%,-3.20,4.00,6.50,,
