Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2020-09-29,CLE,,NYY,L 3-12,ALWC G1,CG,4,4,2,4,2,0,1,1,0,0,0,0,9,0,0,0,0,0,1.000,0.26,0.092,2.65,0.61%,2.04,,,6,LF
2,2,2,2020-09-30,CLE,,NYY,L 9-10,ALWC G2,GS-7,3,3,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,.333,1.24,0.089,13.75,0.56%,1.26,,,6,LF
3,3,1,2022-10-07,CLE,,TBR,W 2-1,ALWC G1,CG,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333,0.92,0.010,9.51,0.06%,0.06,,,5,1B
4,4,2,2022-10-08,CLE,,TBR,W 1-0 (15),ALWC G2,CG(15),6,6,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,.250,1.58,-0.293,15.44,-1.60%,-1.59,,,4,1B
5,5,3,2022-10-11,CLE,@,NYY,L 1-4,ALDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,1.34,-0.129,21.03,-1.13%,-1.13,,,4,1B
6,6,4,2022-10-14,CLE,@,NYY,W 4-2 (10),ALDS G2,CG(10),5,5,1,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,.400,0.96,0.012,15.40,0.20%,0.76,,,5,1B
7,7,5,2022-10-15,CLE,,NYY,W 6-5,ALDS G3,CG,5,5,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,.500,2.92,-0.290,61.12,-3.90%,-0.72,,,4,DH
8,8,6,2022-10-16,CLE,,NYY,L 2-4,ALDS G4,CG,4,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,.000,1.15,0.033,25.53,0.47%,0.38,,,4,DH
9,9,7,2022-10-18,CLE,@,NYY,L 1-5,ALDS G5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.86,-0.104,35.63,-2.45%,-1.48,,,5,DH
10,10,1,2024-10-05,CLE,,DET,W 7-0,ALDS G1,CG,4,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,0.45,0.037,7.09,0.32%,-0.48,7.00,9.70,4,1B
11,11,2,2024-10-07,CLE,,DET,L 0-3,ALDS G2,CG,3,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.333,0.78,0.020,12.45,0.19%,0.16,5.00,6.00,5,1B
12,12,3,2024-10-09,CLE,@,DET,L 0-3,ALDS G3,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,1.17,-0.054,24.36,-0.62%,-0.44,3.00,3.00,4,1B
13,13,4,2024-10-10,CLE,@,DET,W 5-4,ALDS G4,CG,5,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,0.84,-0.100,18.53,-1.42%,-1.32,3.00,3.00,4,1B
14,14,5,2024-10-12,CLE,,DET,W 7-3,ALDS G5,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.64,-0.064,26.77,-1.49%,-1.09,0.00,0.00,5,1B
15,15,6,2024-10-14,CLE,@,NYY,L 2-5,ALCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.85,-0.082,22.06,-1.21%,-0.85,0.00,0.00,5,1B
16,16,7,2024-10-15,CLE,@,NYY,L 3-6,ALCS G2,CG,5,4,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,.400,1.25,0.015,33.11,0.22%,0.30,8.00,9.50,4,1B
17,17,8,2024-10-17,CLE,,NYY,W 7-5 (10),ALCS G3,CG(10),5,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,.000,1.63,-0.263,33.92,-3.35%,-1.97,0.00,0.00,4,1B
18,18,9,2024-10-18,CLE,,NYY,L 6-8,ALCS G4,CG,5,5,0,2,1,0,0,3,0,0,0,2,3,0,0,0,0,0,.667,1.94,0.112,59.44,2.38%,1.18,14.00,19.50,4,1B
19,19,10,2024-10-19,CLE,,NYY,L 2-5 (10),ALCS G5,CG(10),4,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.500,0.90,0.086,16.56,0.89%,0.61,9.00,12.20,5,1B
,,,,,,,8-11,,,81,78,7,20,6,0,2,11,0,0,2,16,32,3,0,0,1,0,.295,1.19,-0.873,23.91,-11.27%,-4.33,49.00,62.90,,
