Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
29,29,8,2020-10-14,LAD,@,ATL,W 15-3,NLCS G3,CG,6,4,2,2,1,0,1,4,0,0,2,0,6,0,0,0,0,0,.333,0.26,0.014,5.49,0.19%,4.24,,,4,1B
30,30,9,2020-10-15,LAD,@,ATL,L 2-10,NLCS G4,CG,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,0.47,0.005,15.03,0.13%,0.17,,,4,2B 1B
31,31,10,2020-10-16,LAD,@,ATL,W 7-3,NLCS G5,CG,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.96,-0.037,22.69,-0.50%,-0.63,,,4,1B
32,32,11,2020-10-17,LAD,,ATL,W 3-1,NLCS G6,CG,4,3,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.47,0.011,20.63,0.28%,0.10,,,4,1B
33,33,12,2020-10-18,LAD,,ATL,W 4-3,NLCS G7,CG,4,4,1,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1.000,1.85,-0.127,153.96,-6.53%,-0.99,,,4,1B
34,34,13,2020-10-20,LAD,,TBR,W 8-3,WS G1,CG,5,4,2,2,1,0,0,2,0,0,1,0,3,0,0,0,0,0,.500,0.68,0.092,35.30,2.69%,2.14,,,4,1B
35,35,14,2020-10-21,LAD,,TBR,L 4-6,WS G2,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.29,-0.076,68.05,-2.57%,-0.48,,,4,1B
36,36,15,2020-10-23,LAD,@,TBR,W 6-2,WS G3,CG,5,4,0,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,.667,0.53,0.169,32.97,6.77%,1.46,,,4,1B
37,37,16,2020-10-24,LAD,@,TBR,L 7-8,WS G4,CG,5,4,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,.333,1.38,-0.059,84.72,-2.20%,-0.33,,,4,1B
38,38,17,2020-10-25,LAD,@,TBR,W 4-2,WS G5,CG,4,3,1,2,0,0,1,1,0,0,1,0,5,0,0,0,0,0,.500,0.67,0.159,55.27,8.40%,1.54,,,4,1B
39,39,18,2020-10-27,LAD,,TBR,W 3-1,WS G6,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.67,-0.079,52.40,-3.69%,-1.14,,,4,1B
40,40,1,2022-10-11,LAD,,SDP,W 5-3,NLDS G1,CG,4,3,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1.000,0.51,0.081,7.91,0.72%,0.80,,,5,3B
41,41,2,2022-10-12,LAD,,SDP,L 3-5,NLDS G2,CG,4,4,1,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,.333,1.57,0.190,25.01,1.70%,1.49,,,5,3B
42,42,3,2022-10-14,LAD,@,SDP,L 1-2,NLDS G3,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,1.30,-0.040,27.09,-0.47%,-0.25,,,5,2B
43,43,4,2022-10-15,LAD,@,SDP,L 3-5,NLDS G4,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.80,-0.059,17.78,-0.80%,-1.10,,,5,3B
44,44,1,2023-10-07,LAD,,ARI,L 2-11,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.16,-0.019,2.54,-0.18%,-1.46,,,4,3B
45,45,2,2023-10-09,LAD,,ARI,L 2-4,NLDS G2,CG,4,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.500,0.97,-0.012,14.91,-0.11%,0.06,,,4,3B
46,46,3,2023-10-11,LAD,@,ARI,L 2-4,NLDS G3,CG,4,4,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.84,-0.075,8.69,-0.46%,-0.62,,,4,3B
47,47,1,2024-10-05,LAD,,SDP,W 7-5,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.27,-0.138,19.82,-1.30%,-1.47,0.00,0.00,5,3B
48,48,2,2024-10-06,LAD,,SDP,L 2-10,NLDS G2,CG,4,4,1,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,.333,0.98,0.037,15.65,0.38%,1.51,17.00,21.70,5,3B 1B
49,49,3,2024-10-08,LAD,@,SDP,L 5-6,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,1.34,-0.138,28.08,-1.67%,-0.79,0.00,0.00,5,3B 1B
50,50,4,2024-10-09,LAD,@,SDP,W 8-0,NLDS G4,CG,5,4,2,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,.333,0.37,0.009,8.23,0.14%,0.11,11.00,15.40,4,1B
51,51,5,2024-10-11,LAD,,SDP,W 2-0,NLDS G5,CG,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,0.54,0.020,22.36,0.47%,0.13,2.00,3.00,5,3B 1B
52,52,6,2024-10-13,LAD,,NYM,W 9-0,NLCS G1,CG,4,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,.333,0.84,0.150,21.99,2.19%,0.88,7.00,10.00,6,3B 1B
53,53,7,2024-10-14,LAD,,NYM,L 3-7,NLCS G2,CG,4,2,1,1,0,0,1,1,1,0,2,0,4,0,0,0,0,0,.000,0.99,0.100,26.14,1.70%,1.30,23.00,30.70,7,3B
54,54,8,2024-10-16,LAD,@,NYM,W 8-0,NLCS G3,CG,5,2,2,2,0,0,1,1,0,0,3,0,5,0,0,0,0,0,1.000,0.66,0.105,20.68,2.08%,2.62,25.00,33.90,4,3B 1B
55,55,9,2024-10-17,LAD,@,NYM,W 10-2,NLCS G4,CG,5,2,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1.000,0.50,0.058,15.26,1.06%,0.50,9.00,12.00,6,1B
56,56,10,2024-10-18,LAD,@,NYM,L 6-12,NLCS G5,CG,4,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.49,-0.037,8.99,-0.37%,-0.35,4.00,6.20,7,3B
57,57,11,2024-10-20,LAD,,NYM,W 10-5,NLCS G6,CG,5,2,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,.000,0.46,0.001,17.99,0.00%,0.62,13.00,18.20,5,1B
58,58,12,2024-10-25,LAD,,NYY,W 6-3 (10),WS G1,CG(10),4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,1.75,0.018,91.10,0.79%,0.00,2.00,3.00,5,3B
59,59,13,2024-10-26,LAD,,NYY,W 4-2,WS G2,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.39,-0.029,20.42,-0.85%,-0.53,0.00,0.00,7,3B
60,60,14,2024-10-28,LAD,@,NYY,W 4-2,WS G3,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,.000,0.58,-0.031,24.06,-0.82%,-0.78,2.00,3.00,5,3B
61,61,15,2024-10-29,LAD,@,NYY,L 4-11,WS G4,CG,4,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,0.86,-0.046,16.75,-0.53%,-0.37,2.00,3.00,5,3B
62,62,16,2024-10-30,LAD,@,NYY,W 7-6,WS G5,CG,5,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,1.38,-0.122,50.64,-2.58%,-1.16,2.00,3.00,5,3B
,,,,,,,35-27,,,260,203,38,44,7,0,13,34,4,0,54,76,90,2,3,0,0,2,.272,0.88,1.045,29.09,18.19%,15.84,119.00,163.10,,
