Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2020-09-29,TBR,,TOR,W 3-1,ALWC G1,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.81,-0.087,8.40,-0.50%,-0.81,4,1B
2,2,1,2023-10-03,TEX,@,TBR,W 4-0,ALWC G1,CG,5,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,0.83,-0.062,8.57,-0.41%,-1.22,5,1B
3,3,2,2023-10-04,TEX,@,TBR,W 7-1,ALWC G2,CG,5,5,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,.333,0.50,-0.034,5.57,-0.22%,-0.19,5,1B
4,4,3,2023-10-07,TEX,@,BAL,W 3-2,ALDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,1.00,-0.049,15.63,-0.46%,-0.37,7,1B
5,5,4,2023-10-08,TEX,@,BAL,W 11-8,ALDS G2,CG,5,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.45,0.002,6.90,-0.03%,-0.79,7,1B
6,6,5,2023-10-10,TEX,,BAL,W 7-1,ALDS G3,CG,4,4,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,0.26,-0.012,2.70,-0.08%,0.23,7,1B
7,7,6,2023-10-15,TEX,@,HOU,W 2-0,ALCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.66,-0.064,17.29,-1.07%,-0.88,7,1B
8,8,7,2023-10-16,TEX,@,HOU,W 5-4,ALCS G2,CG,4,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,0.55,0.033,14.17,0.53%,0.49,7,1B
9,9,8,2023-10-18,TEX,,HOU,L 5-8,ALCS G3,CG,4,4,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.667,0.73,-0.051,15.26,-0.66%,-0.35,7,1B
10,10,9,2023-10-19,TEX,,HOU,L 3-10,ALCS G4,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,0.52,0.072,16.68,1.48%,0.18,7,1B
11,11,10,2023-10-20,TEX,,HOU,L 4-5,ALCS G5,CG,4,3,1,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,.000,0.78,0.124,32.17,3.18%,0.36,7,1B
12,12,11,2023-10-22,TEX,@,HOU,W 9-2,ALCS G6,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.68,-0.029,26.62,-0.80%,-0.41,7,1B
13,13,12,2023-10-23,TEX,@,HOU,W 11-4,ALCS G7,CG,5,4,1,1,0,0,1,2,0,0,1,3,4,0,0,0,0,0,,0.37,-0.024,30.50,-1.29%,1.11,7,1B
14,14,13,2023-10-27,TEX,,ARI,W 6-5 (11),WS G1,CG(11),5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,1.98,-0.108,103.15,-3.81%,-0.80,7,1B
15,15,14,2023-10-28,TEX,,ARI,L 1-9,WS G2,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.71,-0.054,37.49,-1.70%,-0.65,7,1B
16,16,15,2023-10-30,TEX,@,ARI,W 3-1,WS G3,CG,4,3,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,.333,0.55,0.066,34.31,2.65%,0.53,7,1B
17,17,16,2023-10-31,TEX,@,ARI,W 11-7,WS G4,CG,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.42,-0.034,25.44,-1.32%,-0.55,6,1B
18,18,17,2023-11-01,TEX,@,ARI,W 5-0,WS G5,CG,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.333,1.03,-0.042,37.69,-1.01%,-0.13,6,1B
,,,,,,,14-4,,,75,69,10,14,2,0,3,6,0,0,6,24,25,0,0,0,0,0,.262,0.72,-0.353,24.36,-5.52%,-4.23,,
