Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2017-10-04,COL,@,ARI,L 8-11,NLWC G1,CG,5,5,2,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,.000,0.60,-0.010,12.46,-0.12%,-0.01,4,3B
2,2,1,2018-10-02,COL,@,CHC,W 2-1 (13),NLWC G1,CG(13),6,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,.200,1.48,-0.082,30.80,-1.02%,-0.58,3,3B
3,3,2,2018-10-04,COL,@,MIL,L 2-3 (10),NLDS G1,CG(10),4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.000,2.01,-0.018,31.46,-0.10%,-0.70,3,3B
4,4,3,2018-10-05,COL,@,MIL,L 0-4,NLDS G2,CG,4,4,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1.000,1.33,-0.009,21.33,-0.13%,-0.32,3,3B
5,5,4,2018-10-07,COL,,MIL,L 0-6,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.82,-0.087,8.48,-0.58%,-1.12,3,3B
6,6,1,2021-10-06,STL,@,LAD,L 1-3,NLWC G1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.73,-0.180,36.10,-2.28%,-1.50,4,3B
7,7,1,2022-10-07,STL,,PHI,L 3-6,NLWC G1,CG,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,1.00,-0.083,10.35,-0.48%,-0.48,4,3B
8,8,2,2022-10-08,STL,,PHI,L 0-2,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.60,-0.168,17.69,-1.14%,-1.11,4,3B
,,,,,,,1-7,,,35,33,3,5,0,0,1,3,0,0,0,9,8,0,0,0,2,0,.160,1.31,-0.637,21.08,-5.85%,-5.81,,
