Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2019-10-03,ATL,,STL,L 6-7,NLDS G1,CG,4,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,2.25,0.077,35.22,0.67%,0.58,8,SS
2,2,2,2019-10-04,ATL,,STL,W 3-0,NLDS G2,CG,3,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.000,1.04,-0.077,15.92,-0.66%,-0.90,8,SS
3,3,3,2019-10-06,ATL,@,STL,W 3-1,NLDS G3,CG,4,4,1,3,2,0,0,1,0,0,0,1,5,0,0,0,0,0,1.000,2.19,0.438,45.87,5.15%,1.68,8,SS
4,4,4,2019-10-07,ATL,@,STL,L 4-5 (10),NLDS G4,CG(10),4,3,2,2,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1.000,1.17,0.131,22.84,1.46%,1.24,8,SS
5,5,5,2019-10-09,ATL,,STL,L 1-13,NLDS G5,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.02,-0.002,0.94,-0.06%,-0.94,8,SS
6,6,1,2020-09-30,ATL,,CIN,W 1-0 (13),NLWC G1,CG(13),5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,2.04,-0.282,21.18,-1.64%,-1.49,7,SS
7,7,2,2020-10-01,ATL,,CIN,W 5-0,NLWC G2,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.62,-0.068,6.07,-0.36%,-0.37,7,SS
8,8,3,2020-10-06,ATL,,MIA,W 9-5,NLDS G1,CG,4,4,1,1,0,0,1,2,0,0,0,1,4,0,0,0,0,0,.000,0.99,-0.051,15.56,-0.54%,0.97,6,SS
9,9,4,2020-10-07,ATL,,MIA,W 2-0,NLDS G2,CG,3,3,1,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,.000,0.37,0.090,5.87,0.79%,0.71,6,SS
10,10,5,2020-10-08,ATL,@,MIA,W 7-0,NLDS G3,CG,5,3,1,2,0,1,0,2,0,0,1,0,4,0,0,0,1,0,.500,0.62,0.110,6.45,0.72%,2.25,6,SS
11,11,6,2020-10-12,ATL,@,LAD,W 5-1,NLCS G1,CG,5,3,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,.000,1.34,-0.042,34.94,-0.71%,-0.41,6,SS
12,12,7,2020-10-13,ATL,@,LAD,W 8-7,NLCS G2,CG,5,5,0,2,1,0,0,1,0,0,0,1,3,0,0,0,0,0,.500,0.30,-0.028,7.77,-0.44%,0.57,6,SS
13,13,8,2020-10-14,ATL,,LAD,L 3-15,NLCS G3,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.03,-0.003,0.52,-0.03%,-1.25,6,SS
14,14,9,2020-10-15,ATL,,LAD,W 10-2,NLCS G4,CG,4,4,1,1,1,0,0,2,0,0,0,2,2,0,0,0,0,0,.500,0.95,-0.001,30.22,-0.01%,0.74,6,SS
15,15,10,2020-10-16,ATL,,LAD,L 3-7,NLCS G5,CG,4,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.72,-0.093,17.02,-1.28%,-1.40,6,SS
16,16,11,2020-10-17,ATL,@,LAD,L 1-3,NLCS G6,CG,4,4,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,.750,0.94,0.122,41.80,3.04%,1.39,6,SS
17,17,12,2020-10-18,ATL,@,LAD,L 3-4,NLCS G7,CG,4,3,1,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,.000,1.50,0.090,125.33,5.13%,1.39,6,SS
18,18,1,2021-10-08,ATL,@,MIL,L 1-2,NLDS G1,CG,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333,0.80,-0.032,12.48,-0.28%,-0.27,8,SS
19,19,2,2021-10-09,ATL,@,MIL,W 3-0,NLDS G2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.48,-0.052,7.63,-0.50%,-0.75,8,SS
20,20,3,2021-10-11,ATL,,MIL,W 3-0,NLDS G3,CG,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.333,1.05,0.033,21.89,0.38%,0.13,8,SS
21,21,4,2021-10-12,ATL,,MIL,W 5-4,NLDS G4,CG,5,5,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,.500,1.23,-0.082,27.28,-1.04%,-0.40,1,SS
22,22,5,2021-10-16,ATL,,LAD,W 3-2,NLCS G1,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.23,-0.095,32.11,-1.39%,-0.67,8,SS
23,23,6,2021-10-17,ATL,,LAD,W 5-4,NLCS G2,CG,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,.250,2.01,-0.195,53.03,-3.22%,-1.04,8,SS
24,24,7,2021-10-19,ATL,@,LAD,L 5-6,NLCS G3,CG,4,4,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,.667,1.16,0.086,24.22,1.19%,0.90,8,SS
25,25,8,2021-10-20,ATL,@,LAD,W 9-2,NLCS G4,CG,5,5,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,.333,0.50,-0.060,15.37,-1.12%,-0.43,1,SS
26,26,9,2021-10-21,ATL,@,LAD,L 2-11,NLCS G5,CG,3,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.500,0.53,-0.020,9.70,-0.21%,0.05,7,SS
27,27,10,2021-10-23,ATL,,LAD,W 4-2,NLCS G6,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.50,-0.039,19.33,-0.87%,-0.45,7,SS
28,28,11,2021-10-26,ATL,@,HOU,W 6-2,WS G1,CG,4,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.500,0.46,0.006,23.88,0.20%,0.33,9,SS
29,29,12,2021-10-27,ATL,@,HOU,L 2-7,WS G2,CG,4,3,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.51,0.002,26.01,0.05%,-0.08,9,SS
30,30,13,2021-10-29,ATL,,HOU,W 2-0,WS G3,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,.000,0.76,-0.038,47.47,-1.32%,-0.49,8,SS
31,31,14,2021-10-30,ATL,,HOU,W 3-2,WS G4,CG,3,3,1,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,.000,0.95,0.190,60.93,7.50%,0.65,8,SS
32,32,15,2021-10-31,ATL,,HOU,L 5-9,WS G5,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.07,-0.105,50.37,-2.99%,-1.18,8,SS
33,33,16,2021-11-02,ATL,@,HOU,W 7-0,WS G6,CG,4,4,1,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,.000,0.55,0.048,48.72,2.90%,0.65,9,SS
34,34,1,2022-10-11,ATL,,PHI,L 6-7,NLDS G1,CG,5,5,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1.000,1.06,-0.058,16.60,-0.57%,-0.46,2,SS
