Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2022-10-07,PHI,@,STL,W 6-3,NLWC G1,CG,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.76,-0.005,7.89,-0.03%,-0.17,,,3,C
2,2,2,2022-10-08,PHI,@,STL,W 2-0,NLWC G2,CG,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,0.51,0.031,5.68,0.23%,0.38,,,3,C
3,3,3,2022-10-11,PHI,@,ATL,W 7-6,NLDS G1,CG,5,5,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,.500,0.48,-0.005,7.55,-0.07%,-0.70,,,3,C
4,4,4,2022-10-12,PHI,@,ATL,L 0-3,NLDS G2,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.56,-0.008,8.61,-0.06%,-0.12,,,3,C
5,5,5,2022-10-14,PHI,,ATL,W 9-1,NLDS G3,CG,4,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.20,-0.008,4.24,-0.09%,-0.58,,,3,C
6,6,6,2022-10-15,PHI,,ATL,W 8-3,NLDS G4,CG,5,5,1,2,0,0,1,2,0,0,0,2,5,0,0,0,0,0,.500,0.94,0.006,20.78,0.06%,0.36,,,3,C
7,7,7,2022-10-18,PHI,@,SDP,W 2-0,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.74,-0.073,19.32,-1.13%,-0.82,,,3,C
8,8,8,2022-10-19,PHI,@,SDP,L 5-8,NLCS G2,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.70,-0.012,18.03,-0.25%,-0.25,,,3,C
9,9,9,2022-10-21,PHI,,SDP,W 4-2,NLCS G3,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.67,0.009,20.84,0.17%,0.04,,,3,C
10,10,10,2022-10-22,PHI,,SDP,W 10-6,NLCS G4,CG,4,2,3,1,0,0,1,1,0,0,2,0,4,0,0,0,0,0,.000,0.68,0.079,21.81,1.47%,1.48,,,3,C
