Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2021-10-06,STL,@,LAD,L 1-3,NLWC G1,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.23,-0.123,25.68,-1.50%,-0.89,,,7,SS
2,2,1,2022-10-07,PHI,@,STL,W 6-3,NLWC G1,9-GF,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0.000,,0.00%,0.00,,,6,PR 3B
3,3,2,2022-10-08,PHI,@,STL,W 2-0,NLWC G2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,PR 3B
4,4,3,2022-10-11,PHI,@,ATL,W 7-6,NLDS G1,CG,4,2,1,1,1,0,0,1,0,0,1,0,2,0,0,0,1,0,.333,0.37,0.056,5.84,0.56%,0.72,,,9,SS
5,5,5,2022-10-14,PHI,,ATL,W 9-1,NLDS G3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
6,6,8,2022-10-19,PHI,@,SDP,L 5-8,NLCS G2,GS-7,2,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1.000,0.91,0.040,23.44,0.65%,0.57,,,9,SS
7,7,9,2022-10-21,PHI,,SDP,W 4-2,NLCS G3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
8,8,10,2022-10-22,PHI,,SDP,W 10-6,NLCS G4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
9,9,11,2022-10-23,PHI,,SDP,W 4-3,NLCS G5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
10,10,12,2022-10-28,PHI,@,HOU,W 6-5 (10),WS G1,10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
11,11,13,2022-10-29,PHI,@,HOU,L 2-5,WS G2,GS-8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0.58,-0.029,29.88,-0.84%,-0.32,,,9,SS
12,12,14,2022-11-01,PHI,,HOU,W 7-0,WS G3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,6,3B
13,13,17,2022-11-05,PHI,@,HOU,L 1-4,WS G6,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.16,-0.059,90.17,-2.56%,-0.52,,,9,SS
14,14,8,2023-10-17,PHI,,ARI,W 10-0,NLCS G2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.17,,,2,PH SS
15,15,10,2023-10-20,PHI,@,ARI,L 5-6,NLCS G4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,1,PR DH
16,16,2,2024-10-06,PHI,,NYM,W 7-6,NLDS G2,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.79,-0.040,12.11,-0.39%,-0.34,0.00,0.00,8,3B
17,17,3,2024-10-08,PHI,@,NYM,L 2-7,NLDS G3,GS-9,3,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.000,0.65,0.030,13.59,0.36%,0.60,7.00,9.20,8,2B
,,,,,,,11-6,,,20,17,3,3,1,0,0,2,0,0,1,7,4,0,1,0,1,0,.273,0.76,-0.125,25.09,-3.72%,-0.35,7.00,9.20,,
