Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2023-10-03,MIA,@,PHI,L 1-4,NLWC G1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,9,C
2,2,2,2023-10-04,MIA,@,PHI,L 1-7,NLWC G2,GS-9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.06,-0.094,10.33,-0.52%,-0.91,9,C
,,,,,,,0-2,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.06,-0.094,10.33,-0.52%,-0.91,,
