Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,6,2020-10-08,SDP,,LAD,L 3-12,NLDS G3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,-0.002,0.83,-0.02%,-0.11,6,PH DH
,,,,,,,0-1,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,-0.002,0.83,-0.02%,-0.11,,
