Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,9,2020-10-13,HOU,,TBR,L 2-5,ALCS G3,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.51,0.028,10.62,0.36%,0.26,9,PH
,,,,,,,0-1,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.51,0.028,10.62,0.36%,0.26,,
