Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2023-10-03,ARI,@,MIL,W 6-3,NLWC G1,CG,4,2,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,.500,0.91,0.023,9.44,0.14%,0.20,9,SS
2,2,2,2023-10-04,ARI,@,MIL,W 5-2,NLWC G2,CG,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.81,0.034,8.91,0.21%,0.05,9,SS
3,3,3,2023-10-07,ARI,@,LAD,W 11-2,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.12,-0.013,1.84,-0.14%,-1.31,9,SS
4,4,4,2023-10-09,ARI,@,LAD,W 4-2,NLDS G2,CG,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,.000,0.52,-0.034,7.97,-0.33%,-0.72,9,SS
5,5,5,2023-10-11,ARI,,LAD,W 4-2,NLDS G3,CG,3,3,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,.000,0.41,0.105,4.29,0.62%,0.78,9,SS
6,6,6,2023-10-16,ARI,@,PHI,L 3-5,NLCS G1,CG,3,3,1,1,0,0,1,2,0,0,0,2,4,0,0,0,0,0,,0.96,0.018,25.06,0.26%,1.20,9,SS
7,7,7,2023-10-17,ARI,@,PHI,L 0-10,NLCS G2,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.41,-0.032,10.82,-0.46%,-0.65,9,SS 2B
8,8,8,2023-10-19,ARI,,PHI,W 2-1,NLCS G3,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,2.06,0.016,42.92,0.20%,0.01,9,SS
9,9,9,2023-10-20,ARI,,PHI,W 6-5,NLCS G4,CG,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,1.20,-0.072,36.70,-1.17%,-0.60,9,SS
10,10,10,2023-10-21,ARI,,PHI,L 1-6,NLCS G5,CG,4,4,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.667,0.69,-0.007,28.44,-0.20%,0.03,9,SS
11,11,11,2023-10-23,ARI,@,PHI,W 5-1,NLCS G6,CG,4,4,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,.500,0.50,0.001,19.41,0.05%,0.74,9,SS
12,12,12,2023-10-24,ARI,@,PHI,W 4-2,NLCS G7,CG,4,3,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,.667,1.04,-0.022,86.25,-1.03%,-0.01,9,SS
13,13,13,2023-10-27,ARI,@,TEX,L 5-6 (11),WS G1,CG(11),4,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,.333,1.18,0.022,61.49,0.77%,0.04,9,SS
14,14,14,2023-10-28,ARI,@,TEX,W 9-1,WS G2,CG,4,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,.500,0.81,-0.008,42.55,-0.21%,0.16,9,SS
15,15,15,2023-10-30,ARI,,TEX,L 1-3,WS G3,CG,3,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.500,1.20,0.049,74.98,1.96%,0.34,9,SS
16,16,16,2023-10-31,ARI,,TEX,L 7-11,WS G4,CG,4,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.333,0.12,0.017,7.23,0.65%,1.17,9,SS
17,17,17,2023-11-01,ARI,,TEX,L 0-5,WS G5,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.88,-0.099,32.45,-2.06%,-1.03,9,SS
,,,,,,,10-7,,,63,51,10,14,0,0,2,4,3,2,7,16,20,0,0,5,0,0,.364,0.80,-0.002,29.46,-0.74%,0.40,,
