Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2021-10-06,LAD,,STL,W 3-1,NLWC G1,5-6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.87,-0.022,18.13,-0.26%,-0.17,9,PH
,,,,,,,1-0,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.87,-0.022,18.13,-0.26%,-0.17,,
