Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,HBP,SH,BOP,Pos
1,378,1,2021-04-01,ATL,@,PHI,L 2-3 (10),9-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
2,379,4,2021-04-06,ATL,@,WSN,L 5-6,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
3,380,5,2021-04-07 (1),ATL,@,WSN,W 7-6 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P
4,381,8,2021-04-10,ATL,,PHI,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,P
5,382,9,2021-04-11,ATL,,PHI,L 6-7,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
6,383,10,2021-04-12,ATL,,MIA,L 3-5 (10),9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
7,384,12,2021-04-14,ATL,,MIA,L 5-6 (10),9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
8,385,14,2021-04-16,ATL,@,CHC,W 5-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
9,386,18,2021-04-21,ATL,@,NYY,W 4-1,,,,,,,,,,,,,,,,,,P
10,387,19,2021-04-23,ATL,,ARI,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
11,388,22,2021-04-26,ATL,,CHC,W 8-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
12,389,27,2021-05-01,ATL,@,TOR,L 5-6 (10),,,,,,,,,,,,,,,,,,P
13,390,30,2021-05-05,ATL,@,WSN,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
14,391,31,2021-05-06,ATL,@,WSN,W 3-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
15,392,33,2021-05-08,ATL,,PHI,W 8-7 (12),10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
16,393,37,2021-05-13,ATL,,TOR,L 4-8,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
17,394,38,2021-05-14,ATL,@,MIL,W 6-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
18,395,39,2021-05-15,ATL,@,MIL,W 5-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
19,396,42,2021-05-18,ATL,,NYM,L 3-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
20,397,43,2021-05-19,ATL,,NYM,W 5-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
21,398,48,2021-05-25,ATL,@,BOS,W 3-1,,,,,,,,,,,,,,,,,,P
22,399,51,2021-05-31,ATL,,WSN,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
23,400,54,2021-06-03,ATL,,WSN,W 5-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
24,401,56,2021-06-05,ATL,,LAD,W 6-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
25,402,57,2021-06-06,ATL,,LAD,W 4-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
26,403,58,2021-06-08,ATL,@,PHI,W 9-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
