Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2017-10-06,LAD,,ARI,W 9-5,NLDS G1,CG,5,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.333,0.29,0.012,4.48,0.10%,0.29,4,1B
2,2,2,2017-10-07,LAD,,ARI,W 8-5,NLDS G2,CG,5,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,.000,0.80,-0.105,12.75,-1.03%,-1.65,4,1B
3,3,3,2017-10-09,LAD,@,ARI,W 3-1,NLDS G3,CG,5,4,1,2,0,0,1,2,0,0,1,0,5,0,0,0,0,0,.333,0.92,0.071,9.49,0.47%,0.28,4,1B
4,4,4,2017-10-14,LAD,,CHC,W 5-2,NLCS G1,CG,4,4,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,.500,0.55,0.002,14.31,0.02%,-0.27,3,1B
5,5,5,2017-10-15,LAD,,CHC,W 4-1,NLCS G2,CG,4,3,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,.667,1.06,0.119,28.05,1.76%,0.86,3,1B
6,6,6,2017-10-17,LAD,@,CHC,W 6-1,NLCS G3,CG,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.57,-0.070,11.96,-0.91%,-0.68,2,1B
7,7,7,2017-10-18,LAD,@,CHC,L 2-3,NLCS G4,CG,5,5,1,1,0,0,1,1,0,0,0,1,4,1,0,0,0,0,.000,1.66,-0.177,15.96,-0.94%,-0.29,2,1B
8,8,8,2017-10-19,LAD,@,CHC,W 11-1,NLCS G5,CG,5,5,2,3,1,0,0,1,0,0,0,2,4,0,0,0,0,0,1.000,0.42,0.167,7.60,1.93%,2.06,3,1B
9,9,9,2017-10-24,LAD,,HOU,W 3-1,WS G1,CG,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.53,-0.040,27.51,-1.15%,-0.42,3,1B
10,10,10,2017-10-25,LAD,,HOU,L 6-7 (11),WS G2,GS-10,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.93,-0.063,49.43,-2.03%,0.05,4,1B
11,11,11,2017-10-27,LAD,@,HOU,L 3-5,WS G3,CG,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,1.00,-0.107,62.39,-3.75%,-1.15,4,1B
