Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,2,2011-10-02,ARI,@,MIL,L 4-9,NLDS G2,CG,5,4,1,1,0,0,1,1,0,0,1,2,4,0,0,0,0,0,.000,0.70,0.052,11.20,0.48%,0.51,5,1B
2,2,3,2011-10-04,ARI,,MIL,W 8-1,NLDS G3,CG,4,4,1,2,0,0,1,5,0,0,0,1,5,0,0,0,0,0,.500,0.89,0.207,9.24,1.18%,3.85,5,1B
3,3,4,2011-10-05,ARI,,MIL,W 10-6,NLDS G4,CG,5,3,2,2,0,0,0,0,1,0,1,1,2,0,1,0,0,0,1.000,0.82,-0.028,15.59,-0.36%,0.58,5,1B
4,4,5,2011-10-07,ARI,@,MIL,L 2-3 (10),NLDS G5,CG(10),5,5,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.500,1.87,-0.188,77.92,-4.15%,-0.63,5,1B
5,5,1,2017-10-04,ARI,,COL,W 11-8,NLWC G1,CG,5,5,1,2,0,0,1,3,0,0,0,1,5,0,0,0,0,0,.333,0.83,0.067,17.29,0.77%,0.50,3,1B
6,6,2,2017-10-06,ARI,@,LAD,L 5-9,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,0.71,-0.080,11.13,-0.72%,-1.40,3,1B
7,7,3,2017-10-07,ARI,@,LAD,L 5-8,NLDS G2,CG,4,3,1,1,0,0,1,2,0,0,1,0,4,0,0,0,0,0,.000,0.72,0.166,11.49,1.76%,1.79,3,1B
8,8,4,2017-10-09,ARI,,LAD,L 1-3,NLDS G3,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.36,-0.147,14.07,-0.97%,-1.11,3,1B
9,9,1,2019-10-03,STL,@,ATL,W 7-6,NLDS G1,CG,5,4,2,2,1,0,1,1,0,0,1,0,6,0,0,0,0,0,.333,1.91,0.168,29.96,1.51%,1.57,3,1B
10,10,2,2019-10-04,STL,@,ATL,L 0-3,NLDS G2,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.67,-0.035,10.22,-0.30%,-0.22,3,1B
11,11,3,2019-10-06,STL,,ATL,L 1-3,NLDS G3,CG,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.250,0.70,0.034,14.59,0.52%,-0.01,3,1B
12,12,4,2019-10-07,STL,,ATL,W 5-4 (10),NLDS G4,CG(10),5,4,2,3,2,0,1,1,0,0,1,0,8,0,0,0,0,1,.667,1.17,0.251,22.84,2.99%,1.90,3,1B
13,13,5,2019-10-09,STL,@,ATL,W 13-1,NLDS G5,CG,5,5,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.500,0.25,0.043,10.50,1.14%,0.01,3,1B
14,14,6,2019-10-11,STL,,WSN,L 0-2,NLCS G1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.19,-0.118,31.00,-1.95%,-0.81,3,1B
15,15,7,2019-10-12,STL,,WSN,L 1-3,NLCS G2,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,1.29,-0.009,33.27,-0.09%,-0.30,3,1B
16,16,8,2019-10-14,STL,@,WSN,L 1-8,NLCS G3,CG,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0.27,-0.028,5.68,-0.33%,-0.64,3,1B
17,17,9,2019-10-15,STL,@,WSN,L 4-7,NLCS G4,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.62,-0.068,6.85,-0.42%,-0.91,3,1B
18,18,1,2020-09-30,STL,@,SDP,W 7-4,NLWC G1,CG,5,5,1,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,.000,0.65,0.115,6.78,0.76%,0.85,3,1B
19,19,2,2020-10-01,STL,@,SDP,L 9-11,NLWC G2,CG,5,5,1,2,1,0,1,1,0,0,0,1,6,0,0,0,0,0,.333,0.92,0.102,10.25,0.70%,0.99,3,1B
20,20,3,2020-10-02,STL,@,SDP,L 0-4,NLWC G3,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,1.38,-0.065,28.70,-0.73%,-0.52,3,1B
21,21,1,2021-10-06,STL,@,LAD,L 1-3,NLWC G1,CG,5,3,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,.500,1.77,0.021,36.84,0.38%,0.91,2,1B
22,22,1,2022-10-07,STL,,PHI,L 3-6,NLWC G1,CG,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,1.15,-0.069,11.88,-0.41%,-0.61,3,1B
23,23,2,2022-10-08,STL,,PHI,L 0-2,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,2.09,-0.200,23.09,-1.38%,-1.32,3,1B
,,,,,,,7-16,,,102,92,13,24,5,0,8,16,1,0,8,27,53,1,2,0,0,1,.281,1.05,0.191,19.58,0.38%,4.98,,
