Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,HBP,SH,BOP,Pos
1,1,4,2016-10-10,SFG,,CHC,W 6-5 (13),NLDS G3,11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
2,2,5,2016-10-11,SFG,,CHC,L 5-6,NLDS G4,9-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
3,3,1,2020-09-30,ATL,,CIN,W 1-0 (13),NLWC G1,,,,,,,,,,,,,,,,,,P
4,4,2,2020-10-01,ATL,,CIN,W 5-0,NLWC G2,,,,,,,,,,,,,,,,,,P
5,5,3,2020-10-06,ATL,,MIA,W 9-5,NLDS G1,,,,,,,,,,,,,,,,,,P
6,6,4,2020-10-07,ATL,,MIA,W 2-0,NLDS G2,,,,,,,,,,,,,,,,,,P
7,7,6,2020-10-12,ATL,@,LAD,W 5-1,NLCS G1,,,,,,,,,,,,,,,,,,P
8,8,9,2020-10-15,ATL,,LAD,W 10-2,NLCS G4,,,,,,,,,,,,,,,,,,P
9,9,10,2020-10-16,ATL,,LAD,L 3-7,NLCS G5,,,,,,,,,,,,,,,,,,P
10,10,2,2021-10-09,ATL,@,MIL,W 3-0,NLDS G2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
11,11,3,2021-10-11,ATL,,MIL,W 3-0,NLDS G3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
12,12,4,2021-10-12,ATL,,MIL,W 5-4,NLDS G4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
13,13,5,2021-10-16,ATL,,LAD,W 3-2,NLCS G1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
14,14,6,2021-10-17,ATL,,LAD,W 5-4,NLCS G2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
15,15,8,2021-10-20,ATL,@,LAD,W 9-2,NLCS G4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,P
16,16,10,2021-10-23,ATL,,LAD,W 4-2,NLCS G6,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P
17,17,11,2021-10-26,ATL,@,HOU,W 6-2,WS G1,,,,,,,,,,,,,,,,,,P
18,18,13,2021-10-29,ATL,,HOU,W 2-0,WS G3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
19,19,14,2021-10-30,ATL,,HOU,W 3-2,WS G4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,P
20,20,16,2021-11-02,ATL,@,HOU,W 7-0,WS G6,,,,,,,,,,,,,,,,,,P
21,21,3,2023-10-07,TEX,@,BAL,W 3-2,ALDS G1,,,,,,,,,,,,,,,,,,P
22,22,8,2023-10-18,TEX,,HOU,L 5-8,ALCS G3,,,,,,,,,,,,,,,,,,P
23,23,9,2023-10-19,TEX,,HOU,L 3-10,ALCS G4,,,,,,,,,,,,,,,,,,P
24,24,13,2023-10-27,TEX,,ARI,W 6-5 (11),WS G1,,,,,,,,,,,,,,,,,,P
25,25,16,2023-10-31,TEX,@,ARI,W 11-7,WS G4,,,,,,,,,,,,,,,,,,P
,,,,,,,21-4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
