Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2023-10-03,ARI,@,MIL,W 6-3,NLWC G1,CG,5,4,1,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,.000,1.46,0.052,15.11,0.37%,0.12,5,C
2,2,2,2023-10-04,ARI,@,MIL,W 5-2,NLWC G2,GS-3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.92,-0.024,10.16,-0.15%,-0.25,5,C
3,3,3,2023-10-07,ARI,@,LAD,W 11-2,NLDS G1,CG,5,5,1,2,0,0,1,3,0,0,0,2,5,0,0,0,0,0,.500,0.27,0.080,4.20,0.79%,0.48,5,C
4,4,4,2023-10-09,ARI,@,LAD,W 4-2,NLDS G2,CG,4,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,.000,0.75,-0.042,11.53,-0.42%,-0.82,5,C
5,5,5,2023-10-11,ARI,,LAD,W 4-2,NLDS G3,GS-5,2,2,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,.000,0.46,0.044,4.73,0.26%,0.83,5,C
6,6,6,2023-10-16,ARI,@,PHI,L 3-5,NLCS G1,CG,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,1.07,0.111,27.99,1.65%,0.73,5,C
7,7,7,2023-10-17,ARI,@,PHI,L 0-10,NLCS G2,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.53,-0.007,13.86,-0.10%,-0.59,5,C
8,8,8,2023-10-19,ARI,,PHI,W 2-1,NLCS G3,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,1.17,-0.078,24.43,-0.91%,-0.73,3,C
9,9,9,2023-10-20,ARI,,PHI,W 6-5,NLCS G4,CG,5,3,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,.667,1.72,0.416,52.72,7.41%,2.21,3,C
10,10,10,2023-10-21,ARI,,PHI,L 1-6,NLCS G5,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.91,-0.014,37.67,-0.37%,-0.35,3,C
11,11,11,2023-10-23,ARI,@,PHI,W 5-1,NLCS G6,CG,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.200,0.46,-0.051,18.08,-1.32%,-1.38,3,C
12,12,12,2023-10-24,ARI,@,PHI,W 4-2,NLCS G7,CG,4,4,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,.667,1.25,0.101,103.96,5.33%,0.63,3,C
13,13,13,2023-10-27,ARI,@,TEX,L 5-6 (11),WS G1,CG(11),5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,0.93,-0.115,48.65,-3.63%,-1.00,3,C
14,14,14,2023-10-28,ARI,@,TEX,W 9-1,WS G2,CG,5,4,1,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,.000,0.52,0.099,27.24,3.27%,0.36,3,C
15,15,15,2023-10-30,ARI,,TEX,L 1-3,WS G3,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,1.24,-0.152,77.38,-5.82%,-1.29,3,C
16,16,16,2023-10-31,ARI,,TEX,L 7-11,WS G4,CG,5,4,2,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,.667,0.29,-0.022,17.53,-0.73%,1.85,3,C
17,17,17,2023-11-01,ARI,,TEX,L 0-5,WS G5,CG,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,.000,1.85,-0.160,67.84,-3.49%,-1.31,3,C
,,,,,,,10-7,,,70,63,6,15,1,0,4,12,0,0,6,20,28,1,0,1,0,0,.282,0.93,0.238,33.12,2.15%,-0.50,,
