Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2019-10-02,TBR,@,OAK,W 5-1,ALWC G1,3-GF,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.31,-0.025,6.39,-0.33%,-0.80,5,PH 2B
2,2,2,2019-10-04,TBR,@,HOU,L 2-6,ALDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.57,0.017,8.89,0.21%,-0.09,5,2B
3,3,3,2019-10-05,TBR,@,HOU,L 1-3,ALDS G2,CG,4,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,1.78,0.020,28.38,0.19%,-0.24,6,2B
4,4,4,2019-10-07,TBR,,HOU,W 10-3,ALDS G3,CG,4,4,1,2,0,0,1,1,0,0,0,0,5,0,0,0,0,0,.333,0.46,0.032,4.75,0.16%,1.20,6,2B
5,5,5,2019-10-08,TBR,,HOU,W 4-1,ALDS G4,GS-9,5,5,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,.500,0.64,-0.035,12.55,-0.38%,-1.26,5,2B
6,6,1,2020-09-29,TBR,,TOR,W 3-1,ALWC G1,CG,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.250,0.53,-0.013,5.45,-0.08%,-0.24,2,2B
7,7,2,2020-09-30,TBR,,TOR,W 8-2,ALWC G2,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,0.51,0.041,4.99,0.22%,-0.37,3,2B
8,8,3,2020-10-05,TBR,,NYY,L 3-9,ALDS G1,CG,5,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,,0.55,0.017,8.59,0.16%,-0.25,2,2B
9,9,4,2020-10-06,TBR,,NYY,W 7-5,ALDS G2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.53,-0.055,8.11,-0.47%,-0.80,2,2B
10,10,5,2020-10-07,TBR,@,NYY,W 8-4,ALDS G3,CG,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.38,-0.048,7.91,-0.62%,-0.84,2,2B
11,11,6,2020-10-08,TBR,@,NYY,L 1-5,ALDS G4,CG,4,3,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,.000,1.33,-0.090,25.95,-1.03%,-0.85,2,2B
12,12,7,2020-10-09,TBR,,NYY,W 2-1,ALDS G5,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.85,-0.050,35.42,-1.18%,-0.24,2,2B
13,13,8,2020-10-11,TBR,,HOU,W 2-1,ALCS G1,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.87,-0.040,22.65,-0.59%,-0.53,3,2B
14,14,9,2020-10-12,TBR,,HOU,W 4-2,ALCS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.37,-0.008,9.65,-0.12%,-0.18,2,2B
15,15,10,2020-10-13,TBR,@,HOU,W 5-2,ALCS G3,CG,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.05,0.018,21.79,0.17%,-0.89,3,2B
16,16,11,2020-10-14,TBR,@,HOU,L 3-4,ALCS G4,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2.88,-0.065,27.93,-0.35%,-0.36,5,PH
17,17,12,2020-10-15,TBR,@,HOU,L 3-4,ALCS G5,CG,5,5,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,1.56,-0.058,28.41,-0.71%,-0.08,1,2B
