Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1066,1,2019-03-28,LAA,@,OAK,L 0-4,CG,4,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,0.90,0.010,0.96,0.01%,0.23,2,CF
2,1067,2,2019-03-29,LAA,@,OAK,W 6-2,CG,5,4,1,2,1,0,0,2,0,0,1,0,.429,.556,.571,1.127,3,0,0,0,0,1,1.25,0.100,1.24,0.06%,2.17,2,CF
3,1068,3,2019-03-30,LAA,@,OAK,L 2-4,CG,4,3,0,1,1,0,0,1,0,0,0,0,.400,.462,.600,1.062,2,0,0,0,1,0,1.12,-0.027,1.20,-0.02%,-0.09,2,CF
4,1069,4,2019-03-31,LAA,@,OAK,L 1-2,CG,4,2,0,0,0,0,0,0,1,0,1,1,.333,.471,.500,.971,0,0,1,0,0,0,1.59,0.101,1.64,0.06%,0.38,2,DH
5,1070,5,2019-04-01,LAA,@,SEA,L 3-6,CG,4,2,0,0,0,0,0,0,0,0,1,0,.286,.476,.429,.905,0,0,1,0,0,1,0.82,0.053,0.83,0.03%,0.57,2,CF
6,1071,6,2019-04-02,LAA,@,SEA,L 1-2,CG,4,3,0,1,0,0,0,0,0,0,1,0,.294,.480,.412,.892,1,0,0,0,0,0,0.92,0.084,0.86,0.05%,0.31,2,CF
7,1072,7,2019-04-04,LAA,,TEX,L 4-11,GS-9,4,3,1,2,0,0,1,1,0,0,1,1,.350,.517,.600,1.117,5,0,0,0,0,0,0.50,0.089,0.42,0.05%,1.42,2,CF
8,1073,8,2019-04-05,LAA,,TEX,W 3-1,CG,4,4,2,2,0,0,2,2,0,0,0,0,.375,.515,.833,1.348,8,1,0,0,0,0,1.00,0.147,0.75,0.07%,0.86,2,CF
9,1074,9,2019-04-06,LAA,,TEX,W 5-1,CG,5,2,1,1,0,0,1,4,0,0,2,1,.385,.553,.923,1.476,4,0,1,0,0,1,1.13,0.317,0.97,0.16%,3.42,2,CF
10,1075,10,2019-04-07,LAA,,TEX,W 7-2,CG,5,2,1,1,0,0,1,2,0,0,3,0,.393,.581,1.000,1.581,4,0,0,0,0,1,0.58,0.110,0.51,0.06%,2.27,2,CF
11,1076,11,2019-04-08,LAA,,MIL,W 5-2,CG,4,2,1,0,0,0,0,0,0,0,2,1,.367,.574,.933,1.508,0,0,0,0,0,0,0.81,-0.014,0.65,-0.01%,-0.09,2,CF
12,1077,12,2019-04-09,LAA,,MIL,W 11-8,GS-4,2,2,1,2,0,0,0,0,0,0,0,0,.406,.592,.938,1.529,2,0,0,0,0,0,0.50,0.038,0.42,0.02%,0.55,2,CF
13,1078,16,2019-04-15,LAA,@,TEX,L 7-12,CG,5,2,2,0,0,0,0,0,0,0,3,0,.382,.593,.882,1.475,0,0,0,0,0,0,0.67,0.054,0.66,0.03%,1.05,2,DH
14,1079,17,2019-04-16,LAA,@,TEX,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.368,.569,.816,1.385,1,0,0,0,0,0,0.66,-0.020,0.63,-0.01%,-0.45,2,DH
