Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,267,1,2021-04-01,LAA,,CHW,W 4-3,CG,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1.73,0.058,1.62,0.03%,0.02,2,DH
2,268,2,2021-04-02,LAA,,CHW,L 8-12,CG,5,5,2,2,0,1,1,2,0,0,0,3,.222,.222,.778,1.000,7,0,0,0,0,0,0.90,-0.037,0.89,-0.02%,1.64,2,DH
3,269,3,2021-04-03,LAA,,CHW,W 5-3,CG,4,4,0,1,0,0,0,0,1,0,0,2,.231,.231,.615,.846,1,0,0,0,0,0,1.38,-0.031,1.31,-0.02%,-0.33,2,DH
4,270,4,2021-04-04,LAA,,CHW,W 7-4,GS-5,3,3,1,1,0,0,1,1,0,0,0,0,.250,.250,.750,1.000,4,0,0,0,0,0,0.70,0.055,0.68,0.03%,0.23,2,P
5,271,5,2021-04-05,LAA,,HOU,W 7-6,8-9,1,0,1,0,0,0,0,0,0,0,0,0,.250,.294,.750,1.044,0,0,1,0,0,0,4.26,0.151,4.98,0.11%,0.84,8,PH
6,272,6,2021-04-06,LAA,,HOU,L 2-4,CG,4,4,1,2,0,0,0,0,1,0,0,0,.300,.333,.700,1.033,2,0,0,0,0,0,0.99,0.006,1.23,0.00%,0.06,2,DH
7,273,7,2021-04-08,LAA,@,TOR,W 7-5 (11),CG(11),6,5,0,1,0,0,0,1,0,0,1,2,.280,.333,.600,.933,1,0,0,0,0,0,1.32,0.136,1.40,0.09%,0.14,2,DH
8,274,8,2021-04-09,LAA,@,TOR,W 7-1,CG,5,5,1,2,1,0,1,4,0,0,0,1,.300,.344,.700,1.044,6,0,0,0,0,0,0.72,0.232,0.80,0.15%,2.86,2,DH
9,275,9,2021-04-10,LAA,@,TOR,L 1-15,CG,4,4,0,1,0,1,0,0,0,0,0,2,.294,.333,.706,1.039,3,0,0,0,0,0,0.25,0.055,0.28,0.04%,-0.05,2,DH
10,276,10,2021-04-12,LAA,@,KCR,W 10-3,CG,5,5,2,3,2,0,0,3,0,1,0,0,.333,.366,.744,1.109,5,1,0,0,0,0,1.02,0.258,1.11,0.17%,3.93,2,DH
11,277,11,2021-04-13,LAA,@,KCR,L 2-3,CG,5,5,1,3,0,0,1,1,0,0,0,0,.364,.391,.795,1.187,6,0,0,0,0,0,1.40,0.188,1.55,0.13%,1.24,2,DH
12,278,12,2021-04-14,LAA,@,KCR,L 1-6,CG,4,3,0,0,0,0,0,0,0,0,1,2,.340,.380,.745,1.125,0,0,0,0,0,0,1.33,-0.015,1.45,-0.01%,-0.21,2,DH
13,279,13,2021-04-16,LAA,,MIN,W 10-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.333,.370,.706,1.076,1,0,0,0,0,0,1.20,0.106,1.29,0.07%,0.06,2,DH
14,280,14,2021-04-19,LAA,,TEX,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.309,.345,.655,.999,0,1,0,0,0,0,1.14,-0.155,1.37,-0.11%,-1.70,2,DH
15,281,15,2021-04-20,LAA,,TEX,W 6-2,,,,,,,,,,,,,,.309,.345,.655,.999,,,,,,,,,,,,,P
16,282,16,2021-04-21,LAA,,TEX,L 4-7,CG,4,3,1,1,0,0,1,1,0,0,0,2,.310,.355,.690,1.045,4,0,1,0,0,0,0.60,0.083,0.71,0.06%,0.93,2,DH
17,283,17,2021-04-22,LAA,@,HOU,L 2-8,CG,5,5,0,0,0,0,0,0,0,0,0,2,.286,.328,.635,.963,0,0,0,0,0,0,0.47,-0.062,0.51,-0.04%,-1.47,2,DH
18,284,18,2021-04-23,LAA,@,HOU,L 4-5 (10),CG(10),5,5,0,2,1,0,0,1,1,0,0,2,.294,.333,.632,.966,3,0,0,0,0,0,1.54,0.105,1.70,0.07%,1.13,2,DH
19,285,19,2021-04-24,LAA,@,HOU,L 2-16,CG,4,4,1,1,0,0,1,1,0,0,0,0,.292,.329,.653,.982,4,0,0,0,0,0,0.26,0.080,0.27,0.05%,1.28,2,LF DH
