Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,425,1,2022-04-07,LAA,,HOU,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1.03,-0.108,0.98,-0.06%,-0.79,1,P DH
2,426,2,2022-04-08,LAA,,HOU,L 6-13,CG,5,5,1,1,0,0,0,0,0,0,0,0,.111,.111,.111,.222,1,0,0,0,0,0,0.62,-0.017,0.60,-0.01%,-0.47,1,DH
3,427,3,2022-04-09,LAA,,HOU,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.077,.077,.077,.154,0,0,0,0,0,0,0.81,-0.118,0.73,-0.06%,-1.36,1,DH
4,428,4,2022-04-10,LAA,,HOU,L 1-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.118,.118,.176,.294,2,0,0,0,0,0,1.14,-0.010,1.06,-0.01%,0.19,1,DH
5,429,5,2022-04-11,LAA,,MIA,W 6-2,CG,4,4,1,1,0,0,0,0,1,0,0,0,.143,.143,.190,.333,1,0,0,0,0,0,0.63,0.036,0.49,0.02%,0.01,1,DH
6,430,6,2022-04-12,LAA,,MIA,W 4-3,CG,4,4,0,1,0,0,0,0,0,1,0,3,.160,.160,.200,.360,1,0,0,0,0,0,1.17,-0.071,0.95,-0.03%,-0.53,1,DH
7,431,7,2022-04-14,LAA,@,TEX,L 5-10,CG,5,4,1,1,1,0,0,0,0,0,1,2,.172,.200,.241,.441,2,0,0,0,0,0,0.63,-0.041,0.61,-0.02%,0.15,1,P DH
8,432,8,2022-04-15,LAA,@,TEX,W 9-6,CG,5,5,2,2,0,0,2,3,0,0,0,2,.206,.229,.441,.670,8,0,0,0,0,0,0.74,0.223,0.70,0.13%,2.14,1,DH
9,433,9,2022-04-16,LAA,@,TEX,W 7-2,CG,5,5,3,2,0,0,1,3,1,0,0,1,.231,.250,.513,.763,5,0,0,0,0,0,1.11,0.166,1.11,0.10%,2.25,1,DH
10,434,10,2022-04-17,LAA,@,TEX,W 8-3,CG,5,5,1,1,0,0,0,1,0,0,0,2,.227,.244,.477,.722,1,0,0,0,0,0,0.84,0.062,0.85,0.04%,0.53,1,DH
11,435,11,2022-04-18,LAA,@,HOU,L 3-8,CG,4,3,0,1,0,0,0,0,0,0,1,1,.234,.265,.468,.733,1,0,0,0,0,1,1.36,0.033,1.48,0.02%,0.22,1,DH
12,436,12,2022-04-19,LAA,@,HOU,W 7-2,CG,5,4,0,0,0,0,0,0,0,0,1,1,.216,.259,.431,.691,0,0,0,0,0,0,0.56,-0.015,0.62,-0.01%,-0.65,1,DH
13,437,13,2022-04-20,LAA,@,HOU,W 6-0,CG,5,4,1,2,1,0,0,2,0,0,1,0,.236,.288,.455,.743,3,0,0,0,0,0,0.50,0.108,0.55,0.07%,2.01,1,P DH
14,438,14,2022-04-22,LAA,,BAL,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.220,.270,.424,.694,0,1,0,0,0,0,1.14,-0.153,1.23,-0.10%,-1.08,1,DH
15,439,15,2022-04-23,LAA,,BAL,L 4-5,CG,5,4,0,0,0,0,0,0,1,0,1,2,.206,.265,.397,.662,0,0,0,0,0,0,1.78,-0.118,1.91,-0.08%,-1.03,1,DH
16,440,16,2022-04-24,LAA,,BAL,W 7-6,CG,5,4,2,3,0,0,0,0,0,1,1,0,.239,.301,.418,.719,3,0,0,0,0,0,0.56,0.089,0.56,0.05%,0.56,1,DH
