Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,582,1,2023-03-30,LAA,@,OAK,L 1-2,CG,4,3,0,1,0,0,0,0,0,0,1,2,.333,.500,.333,.833,1,0,0,0,0,1,1.05,0.046,1.06,0.03%,0.46,3,P DH
2,583,2,2023-04-01,LAA,@,OAK,W 13-1,CG,5,5,1,2,0,0,0,2,0,0,0,1,.375,.444,.375,.819,2,0,0,0,0,0,0.37,0.043,0.34,0.02%,1.28,3,DH
3,584,3,2023-04-02,LAA,@,OAK,W 6-0,GS-9,4,4,1,1,0,0,1,1,0,0,0,2,.333,.385,.583,.968,4,0,0,0,0,0,0.91,-0.071,0.90,-0.04%,-0.60,3,DH
4,585,4,2023-04-03,LAA,@,SEA,W 7-3,CG,5,5,1,1,0,0,1,2,0,0,0,1,.294,.333,.647,.980,4,1,0,0,0,0,1.30,0.073,1.39,0.05%,0.11,3,DH
5,586,5,2023-04-04,LAA,@,SEA,L 2-11,GS-8,3,2,0,0,0,0,0,0,0,0,1,0,.263,.333,.579,.912,0,0,0,0,0,0,0.80,-0.058,0.83,-0.04%,-0.41,3,DH
6,587,6,2023-04-05,LAA,@,SEA,W 4-3,CG,4,2,0,1,0,0,0,1,0,0,2,0,.286,.400,.571,.971,1,0,0,0,0,0,1.10,0.154,1.18,0.10%,1.83,3,P DH
7,588,7,2023-04-07,LAA,,TOR,L 3-4,CG,4,4,0,2,1,0,0,0,0,0,0,2,.320,.414,.600,1.014,3,0,0,0,0,0,1.01,0.159,1.05,0.10%,0.48,3,DH
8,589,8,2023-04-08,LAA,,TOR,W 9-5,CG,4,3,1,1,1,0,0,0,0,0,1,2,.321,.424,.607,1.031,2,0,0,0,0,0,0.72,0.123,0.75,0.08%,1.27,3,DH
9,590,9,2023-04-09,LAA,,TOR,L 11-12 (10),CG(10),6,5,3,2,0,0,1,2,0,0,1,0,.333,.436,.667,1.103,5,0,0,0,0,0,2.44,-0.165,2.57,-0.11%,1.26,3,DH
10,591,10,2023-04-10,LAA,,WSN,L 4-6,CG,4,3,0,0,0,0,0,0,0,0,1,2,.306,.419,.611,1.030,0,0,0,0,0,0,1.18,-0.092,1.13,-0.05%,-0.88,3,DH
11,592,11,2023-04-11,LAA,,WSN,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,2,.300,.404,.575,.979,1,0,0,0,0,0,0.88,0.043,0.83,0.02%,0.12,3,P DH
12,593,13,2023-04-14,LAA,@,BOS,L 3-5,CG,5,4,1,1,0,0,0,0,0,0,1,2,.295,.404,.545,.949,1,0,0,0,0,0,1.11,-0.074,1.16,-0.05%,-0.68,3,DH
13,594,14,2023-04-15,LAA,@,BOS,L 7-9,CG,5,4,1,2,0,0,0,1,0,0,0,0,.313,.411,.542,.952,2,0,0,0,0,0,1.37,0.214,1.35,0.13%,1.48,3,DH
14,595,15,2023-04-16,LAA,@,BOS,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.288,.383,.500,.883,0,0,0,0,0,0,1.18,-0.124,1.13,-0.07%,-0.74,3,DH
15,596,16,2023-04-17,LAA,@,BOS,W 5-4,CG,5,5,1,2,0,0,0,0,0,1,0,0,.298,.385,.491,.876,2,0,0,0,0,0,0.52,0.051,0.50,0.03%,0.47,2,P DH
16,597,17,2023-04-18,LAA,@,NYY,W 5-2,CG,4,3,2,1,0,0,1,2,1,0,0,1,.300,.382,.533,.916,4,0,0,0,0,0,0.74,0.169,0.74,0.10%,1.70,2,DH
17,598,18,2023-04-19,LAA,@,NYY,L 2-3 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,2,.281,.370,.500,.870,0,0,0,0,0,0,1.88,-0.136,1.99,-0.09%,-1.10,2,DH
18,599,19,2023-04-20,LAA,@,NYY,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,1,0,.269,.364,.478,.841,0,0,0,0,0,0,0.95,-0.042,0.94,-0.03%,-0.80,2,DH
19,600,20,2023-04-21,LAA,,KCR,W 2-0,CG,4,4,0,1,0,0,0,0,0,0,0,1,.268,.358,.465,.823,1,1,0,0,0,0,0.52,-0.059,0.50,-0.03%,-0.69,2,P DH
20,601,21,2023-04-22,LAA,,KCR,L 8-11,CG,5,5,0,0,0,0,0,0,0,0,0,0,.250,.337,.434,.771,0,0,0,0,0,0,0.88,-0.117,0.84,-0.07%,-1.08,3,DH
21,602,22,2023-04-23,LAA,,KCR,W 4-3,CG,4,3,1,2,0,0,1,2,0,0,0,1,.266,.344,.481,.825,5,0,0,0,1,0,0.98,0.086,0.90,0.05%,1.16,3,DH
22,603,23,2023-04-24,LAA,,OAK,L 10-11 (10),CG(10),5,4,1,1,1,0,0,0,0,1,0,1,.265,.340,.482,.822,2,0,0,0,0,0,1.07,-0.057,1.05,-0.03%,0.26,3,DH
23,604,24,2023-04-25,LAA,,OAK,W 5-3,CG,4,4,0,0,0,0,0,0,2,0,0,2,.253,.327,.460,.786,0,0,0,0,0,0,0.77,-0.061,0.72,-0.03%,-0.90,3,DH
24,605,25,2023-04-26,LAA,,OAK,W 11-3,CG,5,5,1,2,0,0,1,3,0,0,0,1,.261,.330,.489,.819,5,0,0,0,0,0,0.45,0.010,0.42,0.01%,2.62,3,DH
25,606,26,2023-04-27,LAA,,OAK,W 8-7,CG,5,5,2,3,1,1,0,1,0,0,0,0,.278,.343,.526,.868,6,0,0,0,0,0,0.99,0.097,0.99,0.06%,0.95,3,P DH
26,607,27,2023-04-28,LAA,@,MIL,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.277,.339,.515,.854,1,0,0,0,0,0,1.46,0.059,1.47,0.04%,-0.03,3,DH
27,608,28,2023-04-29,LAA,@,MIL,L 5-7,CG,5,5,0,3,0,0,0,0,2,0,0,0,.292,.350,.519,.869,3,1,0,0,0,0,1.01,-0.023,0.98,-0.01%,0.13,3,DH
28,609,29,2023-04-30,LAA,@,MIL,W 3-0,CG,4,3,1,1,0,0,1,1,0,1,1,1,.294,.355,.541,.897,4,0,0,0,0,0,0.59,0.073,0.58,0.04%,0.55,3,DH
29,610,31,2023-05-03,LAA,@,STL,W 6-4,CG,5,5,1,3,1,0,0,1,0,0,0,0,.307,.365,.553,.918,4,0,0,0,0,0,1.69,0.084,1.78,0.05%,1.11,3,P DH
30,611,32,2023-05-04,LAA,@,STL,W 11-7,CG,5,3,1,1,0,0,0,0,0,0,2,1,.308,.374,.547,.921,1,0,0,0,0,0,0.35,0.050,0.38,0.03%,0.91,2,DH
31,612,33,2023-05-05,LAA,,TEX,W 5-4 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,0,.295,.360,.525,.885,0,0,0,0,0,0,1.51,-0.107,1.99,-0.09%,-1.43,3,DH
32,613,34,2023-05-06,LAA,,TEX,L 1-10,CG,4,4,0,0,0,0,0,0,0,0,0,0,.286,.350,.508,.858,0,0,0,0,0,0,0.89,-0.090,1.22,-0.08%,-0.91,3,DH
33,614,35,2023-05-07,LAA,,TEX,L 8-16,CG,5,3,1,2,0,0,0,1,0,0,2,0,.295,.366,.512,.877,2,0,0,0,0,0,0.94,0.176,1.26,0.14%,2.05,3,DH
34,615,36,2023-05-08,LAA,,HOU,W 6-4,CG,4,4,0,2,2,0,0,2,0,0,0,0,.301,.369,.526,.895,4,0,0,0,0,0,1.58,0.221,1.90,0.16%,1.82,3,DH
35,616,37,2023-05-09,LAA,,HOU,L 1-3,CG,4,3,0,0,0,0,0,0,0,0,0,1,.294,.362,.515,.877,0,0,0,0,0,0,1.04,-0.044,1.27,-0.03%,-0.32,3,P DH
36,617,38,2023-05-10,LAA,,HOU,L 4-5,CG,4,4,1,1,0,0,1,2,0,0,0,2,.293,.359,.529,.888,4,0,0,0,0,0,0.93,0.070,1.13,0.05%,1.14,3,DH
37,618,39,2023-05-12,LAA,@,CLE,W 5-4,CG,5,2,0,0,0,0,0,0,0,0,2,2,.289,.363,.521,.884,0,0,0,0,0,0,1.87,-0.046,1.93,-0.03%,0.24,3,DH
38,619,40,2023-05-13,LAA,@,CLE,L 6-8,CG,5,4,0,1,1,0,0,1,0,0,1,2,.288,.364,.521,.884,2,0,0,0,0,0,1.07,0.080,1.14,0.05%,1.26,3,DH
39,620,41,2023-05-14,LAA,@,CLE,L 3-4,CG,4,4,0,1,0,0,0,1,1,0,0,2,.287,.361,.513,.874,1,0,0,0,0,0,2.11,0.125,2.19,0.08%,0.65,2,DH
40,621,42,2023-05-15,LAA,@,BAL,W 9-5,CG,6,5,3,4,0,1,1,3,0,0,1,0,.303,.377,.555,.932,9,0,0,0,0,0,0.68,0.307,0.65,0.18%,2.79,3,P DH
41,622,43,2023-05-16,LAA,@,BAL,L 3-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.296,.369,.541,.910,0,0,0,0,0,0,0.84,-0.084,0.88,-0.05%,-0.85,3,DH
42,623,44,2023-05-17,LAA,@,BAL,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.288,.361,.528,.888,0,0,0,0,0,0,1.22,-0.120,1.18,-0.07%,-0.86,3,DH
43,624,45,2023-05-18,LAA,@,BAL,W 6-5,CG,5,5,1,2,0,0,1,2,0,0,0,0,.292,.362,.542,.903,5,0,0,0,0,0,1.75,0.267,1.67,0.15%,1.02,3,DH
44,625,46,2023-05-19,LAA,,MIN,W 5-4,CG,4,3,0,0,0,0,0,0,0,0,1,2,.287,.359,.532,.892,0,0,0,0,0,0,0.99,-0.032,1.03,-0.02%,-0.54,3,DH
